sample	patient	celltype1	celltype2	Tumor
PD10_ZZM_TP5_238_20170720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_336_20170720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_368_20170720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_473_20170720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_50_0720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_80_0720	P0720	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_100_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_113_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_119_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_138_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_14_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_19_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_20_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_39_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_47_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_73_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_TP5_97_20170728	P0728	Malignant	hC03_P0411	Tumor
PD10_ZZM_NCD45n_20_20170825	P0825	Malignant	hC03_P0411	Tumor
PD10_ZZM_NCD45n_64_20170825	P0825	Malignant	hC03_P0411	Tumor
PD10_ZZM_TCD45n_108_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_11_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_112_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_121_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_123_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_124_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_147_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_15_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_157_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_165_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_166_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_174_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_181_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_187_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_191_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_196_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_203_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_204_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_210_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_21_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_215_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_220_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_231_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_232_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_242_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_244_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_245_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_246_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_26_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_267_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_27_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_28_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_29_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_32_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_36_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_42_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_43_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_48_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_60_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_61_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_82_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_88_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_90_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TCD45n_9_20170825	P0825	Malignant	hC02_P0825	Tumor
PD10_ZZM_TLCD45N28_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N287_1212	P1212	Malignant	hC01_P0413	Tumor
PD10_ZZM_TLCD45N39_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N49_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N65_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N87_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N88_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N89_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N91_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N9_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N92_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N93_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TLCD45N95_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N10_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N11_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N13_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N15_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N17_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N2_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N24_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N26_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N3_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N33_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N36_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N41_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N4_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N42_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N43_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N46_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N47_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N48_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N50_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N52_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N54_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N55_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N56_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N58_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N59_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N6_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N63_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N66_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N69_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N72_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N76_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N77_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N80_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNCD45N81_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N1_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N12_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N13_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N14_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N17_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N19_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N20_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N24_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N25_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N28_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N30_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N32_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N33_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N35_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N41_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N50_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N54_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N58_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N60_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N61_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N63_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N66_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N71_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N7_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N76_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N79_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N83_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N86_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N87_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N90_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N91_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N9_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N94_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N95_1212	P1212	Malignant	hC04_P1212	Tumor
PD10_ZZM_TNLCD45N16_20161228	P1228	Malignant	hC03_P0411	Tumor
PD10_ZZM_TNLCD45N24_20161228	P1228	Malignant	hC03_P0411	Tumor
PD10_ZZM_TNLCD45N68_20161228	P1228	Malignant	hC04_P1212	Tumor
PD10_ZZM_NL_Plus_56_1228	P1228	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_PLCD45P78_20161228	P1228	Myeloid	hM02_pDC_LILRA4	nonTumor
PD10_ZZM_PLCD76P40_20161228	P1228	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TNLCD45P85_20161228	P1228	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_NNL_Plus_69_1228	P1228	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TLCD45L13_20161228	P1228	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TNLCD45P22_20161228	P1228	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TNLCD45P64_20161228	P1228	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TNLCD45P5_20161228	P1228	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TLCD45L27_20161228	P1228	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TLCD45H87_20161228	P1228	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_NNL_Plus_91_1228	P1228	Myeloid	hM04_cDC1_BATF3	nonTumor
PD10_ZZM_NNL_Plus_43_1228	P1228	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_NNL_Plus_48_1228	P1228	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TLCD45L79_20161228	P1228	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_PLCD90P61_20161228	P1228	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TNLCD45P95_20161228	P1228	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_PLCD61P22_20161228	P1228	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TNLCD45P28_20161228	P1228	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_PLCD78P44_20161228	P1228	Myeloid	hM05_Mono_CD14	nonTumor
PD10_ZZM_TLCD45L55_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45L58_20161228	P1228	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_NL_Plus_85_1228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45L18_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_PLCD45P76_20161228	P1228	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45L37_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NL_Plus_44_1228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45H119_20161228	P1228	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_PNLCD45P18_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45H144_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45L48_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_PLCD45P74_20161228	P1228	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45H72_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45H192_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45H46_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_NL_Plus_32_1228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45H113_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_PLCD45P80_20161228	P1228	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TLCD45H84_20161228	P1228	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TLCD45L5_20161228	P1228	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TNLCD45N83_20161228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNLCD45N35_20161228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TNLCD45N65_20161228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TL_16_1228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TNLCD45N29_20161228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TNLCD45N80_20161228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNLCD45N66_20161228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNL_177_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNLCD45N67_20161228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNL_172_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNL_161_1228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TNLCD45N72_20161228	P1228	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TL_75_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNLCD45N53_20161228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TNL_188_1228	P1228	Fibroblast	hF01_Myofib_ACTA2	nonTumor
