sample	well_quality	cell_type	fastq_url	patient
AZ_E12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630064/ERR1630064.fastq.gz	AZ
AZ_E2	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630065/ERR1630065.fastq.gz	AZ
AZ_E3	OK	MHC class II cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630066/ERR1630066.fastq.gz	AZ
AZ_E4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630067/ERR1630067.fastq.gz	AZ
AZ_E5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630068/ERR1630068.fastq.gz	AZ
AZ_E6	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630069/ERR1630069.fastq.gz	AZ
AZ_E7	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630070/ERR1630070.fastq.gz	AZ
AZ_E8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630071/ERR1630071.fastq.gz	AZ
AZ_E9	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630072/ERR1630072.fastq.gz	AZ
AZ_F1	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630073/ERR1630073.fastq.gz	AZ
AZ_F10	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630074/ERR1630074.fastq.gz	AZ
AZ_F11	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630075/ERR1630075.fastq.gz	AZ
AZ_F12	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630076/ERR1630076.fastq.gz	AZ
AZ_F2	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630077/ERR1630077.fastq.gz	AZ
AZ_F3	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630078/ERR1630078.fastq.gz	AZ
AZ_F4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630079/ERR1630079.fastq.gz	AZ
AZ_F5	OK	PSC cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630080/ERR1630080.fastq.gz	AZ
AZ_F6	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630081/ERR1630081.fastq.gz	AZ
AZ_F7	OK	co-expression cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630082/ERR1630082.fastq.gz	AZ
AZ_F8	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630083/ERR1630083.fastq.gz	AZ
AZ_F9	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630084/ERR1630084.fastq.gz	AZ
AZ_G1	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630085/ERR1630085.fastq.gz	AZ
AZ_G10	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630086/ERR1630086.fastq.gz	AZ
AZ_G11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630087/ERR1630087.fastq.gz	AZ
AZ_G12	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630088/ERR1630088.fastq.gz	AZ
AZ_G2	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630089/ERR1630089.fastq.gz	AZ
AZ_G3	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630090/ERR1630090.fastq.gz	AZ
AZ_G4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630091/ERR1630091.fastq.gz	AZ
AZ_G5	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630092/ERR1630092.fastq.gz	AZ
AZ_G6	OK	co-expression cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630093/ERR1630093.fastq.gz	AZ
AZ_G7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630094/ERR1630094.fastq.gz	AZ
AZ_G8	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630095/ERR1630095.fastq.gz	AZ
AZ_G9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630096/ERR1630096.fastq.gz	AZ
AZ_H1	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630097/ERR1630097.fastq.gz	AZ
AZ_H10	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630098/ERR1630098.fastq.gz	AZ
AZ_H11	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630099/ERR1630099.fastq.gz	AZ
AZ_H12	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630100/ERR1630100.fastq.gz	AZ
AZ_H2	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630101/ERR1630101.fastq.gz	AZ
AZ_H3	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630102/ERR1630102.fastq.gz	AZ
AZ_H4	OK	endothelial cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630103/ERR1630103.fastq.gz	AZ
AZ_H5	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630104/ERR1630104.fastq.gz	AZ
AZ_H6	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630105/ERR1630105.fastq.gz	AZ
AZ_H7	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630106/ERR1630106.fastq.gz	AZ
AZ_H8	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630107/ERR1630107.fastq.gz	AZ
AZ_H9	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630108/ERR1630108.fastq.gz	AZ
HP1502401_A1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630109/ERR1630109.fastq.gz	HP1502401
HP1502401_A10	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630110/ERR1630110.fastq.gz	HP1502401
HP1502401_A11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630111/ERR1630111.fastq.gz	HP1502401
HP1502401_A12	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630112/ERR1630112.fastq.gz	HP1502401
HP1502401_A14	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630113/ERR1630113.fastq.gz	HP1502401
HP1502401_A15	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630114/ERR1630114.fastq.gz	HP1502401
HP1502401_A16	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630115/ERR1630115.fastq.gz	HP1502401
HP1502401_A17	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630116/ERR1630116.fastq.gz	HP1502401
HP1502401_A18	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630117/ERR1630117.fastq.gz	HP1502401
HP1502401_A19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630118/ERR1630118.fastq.gz	HP1502401
HP1502401_A2	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630119/ERR1630119.fastq.gz	HP1502401
HP1502401_A20	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630120/ERR1630120.fastq.gz	HP1502401
HP1502401_A21	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630121/ERR1630121.fastq.gz	HP1502401
HP1502401_A22	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630122/ERR1630122.fastq.gz	HP1502401
HP1502401_A23	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630123/ERR1630123.fastq.gz	HP1502401
HP1502401_A24	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630124/ERR1630124.fastq.gz	HP1502401
HP1502401_A3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630125/ERR1630125.fastq.gz	HP1502401
HP1502401_A4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630126/ERR1630126.fastq.gz	HP1502401
HP1502401_A5	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630127/ERR1630127.fastq.gz	HP1502401
HP1502401_A6	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630128/ERR1630128.fastq.gz	HP1502401
HP1502401_A7	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630129/ERR1630129.fastq.gz	HP1502401
HP1502401_A8	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630130/ERR1630130.fastq.gz	HP1502401
HP1502401_A9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630131/ERR1630131.fastq.gz	HP1502401
HP1502401_B1	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630132/ERR1630132.fastq.gz	HP1502401
HP1502401_B10	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630133/ERR1630133.fastq.gz	HP1502401
HP1502401_B11	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630134/ERR1630134.fastq.gz	HP1502401
HP1502401_B12	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630135/ERR1630135.fastq.gz	HP1502401
HP1502401_B13	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630136/ERR1630136.fastq.gz	HP1502401
HP1502401_B14	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630137/ERR1630137.fastq.gz	HP1502401
HP1502401_B15	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630138/ERR1630138.fastq.gz	HP1502401
HP1502401_B16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630139/ERR1630139.fastq.gz	HP1502401
HP1502401_B17	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630140/ERR1630140.fastq.gz	HP1502401
HP1502401_B18	OK	gamma cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630141/ERR1630141.fastq.gz	HP1502401
HP1502401_B19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630142/ERR1630142.fastq.gz	HP1502401
HP1502401_B2	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630143/ERR1630143.fastq.gz	HP1502401
HP1502401_B20	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630144/ERR1630144.fastq.gz	HP1502401
HP1502401_B21	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630145/ERR1630145.fastq.gz	HP1502401
HP1502401_B22	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630146/ERR1630146.fastq.gz	HP1502401
HP1502401_B23	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630147/ERR1630147.fastq.gz	HP1502401
HP1502401_B24	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630148/ERR1630148.fastq.gz	HP1502401
HP1502401_B3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630149/ERR1630149.fastq.gz	HP1502401
HP1502401_B4	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630150/ERR1630150.fastq.gz	HP1502401
HP1502401_B5	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630151/ERR1630151.fastq.gz	HP1502401
HP1502401_B6	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630152/ERR1630152.fastq.gz	HP1502401
HP1502401_B7	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630153/ERR1630153.fastq.gz	HP1502401
HP1502401_B8	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630154/ERR1630154.fastq.gz	HP1502401
HP1502401_B9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630155/ERR1630155.fastq.gz	HP1502401
HP1502401_C1	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630156/ERR1630156.fastq.gz	HP1502401
HP1502401_C10	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630157/ERR1630157.fastq.gz	HP1502401
HP1502401_C11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630158/ERR1630158.fastq.gz	HP1502401
HP1502401_C12	OK	ductal cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630159/ERR1630159.fastq.gz	HP1502401
HP1502401_C14	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630160/ERR1630160.fastq.gz	HP1502401
HP1502401_C15	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630161/ERR1630161.fastq.gz	HP1502401
HP1502401_C16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630162/ERR1630162.fastq.gz	HP1502401
HP1502401_C17	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630163/ERR1630163.fastq.gz	HP1502401
HP1502401_C18	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630164/ERR1630164.fastq.gz	HP1502401
HP1502401_C19	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630165/ERR1630165.fastq.gz	HP1502401
HP1502401_C2	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630166/ERR1630166.fastq.gz	HP1502401
HP1502401_C20	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630167/ERR1630167.fastq.gz	HP1502401
HP1502401_C21	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630168/ERR1630168.fastq.gz	HP1502401
HP1502401_C22	OK	unclassified endocrine cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630169/ERR1630169.fastq.gz	HP1502401
HP1502401_C23	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630170/ERR1630170.fastq.gz	HP1502401
HP1502401_C24	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630171/ERR1630171.fastq.gz	HP1502401
HP1502401_C3	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630172/ERR1630172.fastq.gz	HP1502401
HP1502401_C4	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630173/ERR1630173.fastq.gz	HP1502401
HP1502401_C5	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630174/ERR1630174.fastq.gz	HP1502401
HP1502401_C6	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630175/ERR1630175.fastq.gz	HP1502401
HP1502401_C7	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630176/ERR1630176.fastq.gz	HP1502401
HP1502401_C8	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630177/ERR1630177.fastq.gz	HP1502401
HP1502401_C9	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630178/ERR1630178.fastq.gz	HP1502401
HP1502401_D1	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630179/ERR1630179.fastq.gz	HP1502401
HP1502401_D10	OK	acinar cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630180/ERR1630180.fastq.gz	HP1502401
HP1502401_D11	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630181/ERR1630181.fastq.gz	HP1502401
HP1502401_D12	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630182/ERR1630182.fastq.gz	HP1502401
HP1502401_D13	OK	beta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630183/ERR1630183.fastq.gz	HP1502401
HP1502401_D14	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630184/ERR1630184.fastq.gz	HP1502401
HP1502401_D15	low quality cell	not applicable	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630185/ERR1630185.fastq.gz	HP1502401
HP1502401_D16	OK	alpha cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630186/ERR1630186.fastq.gz	HP1502401
HP1502401_D17	OK	delta cell	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630187/ERR1630187.fastq.gz	HP1502401
