sample	fastq1	fastq2	patient	malignant	celltype	sample_num	sample_batch
cy53_1_CD45_neg_H05_S377	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H05-S377-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H05-S377-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	377	3
cy53_1_CD45_neg_H07_S379	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H07-S379-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H07-S379-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Endothelial	379	3
cy53_1_CD45_neg_H11_S383	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H11-S383-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H11-S383-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	383	3
cy53_1_CD45_neg_H12_S384	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H12-S384-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-neg-H12-S384-comb_R2_001.fastq.gz	Melanoma_53	malignant	malignant	384	3
cy53_1_CD45_pos_1_A02_S2	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A02-S2-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A02-S2-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	NK	2	0
cy53_1_CD45_pos_1_A03_S3	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A03-S3-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A03-S3-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Macrophage	3	0
cy53_1_CD45_pos_1_A04_S4	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A04-S4-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A04-S4-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	4	0
cy53_1_CD45_pos_1_A05_S5	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A05-S5-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A05-S5-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Macrophage	5	0
cy53_1_CD45_pos_1_A07_S7	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A07-S7-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A07-S7-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	7	0
cy53_1_CD45_pos_1_A08_S8	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A08-S8-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A08-S8-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	NK	8	0
cy53_1_CD45_pos_1_A09_S9	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A09-S9-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A09-S9-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	9	0
cy53_1_CD45_pos_1_A10_S10	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A10-S10-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A10-S10-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	10	0
cy53_1_CD45_pos_1_A11_S11	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A11-S11-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-A11-S11-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	11	0
cy53_1_CD45_pos_1_B01_S13	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B01-S13-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B01-S13-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	13	0
cy53_1_CD45_pos_1_B02_S14	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B02-S14-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B02-S14-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	14	0
cy53_1_CD45_pos_1_B07_S19	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B07-S19-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B07-S19-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	19	0
cy53_1_CD45_pos_1_B10_S22	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B10-S22-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B10-S22-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	22	0
cy53_1_CD45_pos_1_B11_S23	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B11-S23-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B11-S23-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	23	0
cy53_1_CD45_pos_1_B12_S24	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B12-S24-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-B12-S24-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	24	0
cy53_1_CD45_pos_1_C02_S26	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C02-S26-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C02-S26-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	26	0
cy53_1_CD45_pos_1_C06_S30	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C06-S30-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C06-S30-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	30	0
cy53_1_CD45_pos_1_C09_S33	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C09-S33-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C09-S33-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	33	0
cy53_1_CD45_pos_1_C10_S34	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C10-S34-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C10-S34-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	34	0
cy53_1_CD45_pos_1_C11_S35	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C11-S35-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C11-S35-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	35	0
cy53_1_CD45_pos_1_C12_S36	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C12-S36-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-C12-S36-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	36	0
cy53_1_CD45_pos_1_D01_S37	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D01-S37-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D01-S37-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	NK	37	0
cy53_1_CD45_pos_1_D02_S38	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D02-S38-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D02-S38-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	38	0
cy53_1_CD45_pos_1_D04_S40	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D04-S40-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D04-S40-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	40	0
cy53_1_CD45_pos_1_D05_S41	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D05-S41-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D05-S41-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	41	0
cy53_1_CD45_pos_1_D06_S42	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D06-S42-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D06-S42-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	42	0
cy53_1_CD45_pos_1_D09_S45	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D09-S45-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D09-S45-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	45	0
cy53_1_CD45_pos_1_D10_S46	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D10-S46-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D10-S46-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	46	0
cy53_1_CD45_pos_1_D11_S47	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D11-S47-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-D11-S47-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	47	0
cy53_1_CD45_pos_1_E01_S49	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E01-S49-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E01-S49-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	unknown	49	0
cy53_1_CD45_pos_1_E06_S54	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E06-S54-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E06-S54-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	54	0
cy53_1_CD45_pos_1_E07_S55	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E07-S55-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E07-S55-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	55	0
cy53_1_CD45_pos_1_E08_S56	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E08-S56-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E08-S56-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	56	0
cy53_1_CD45_pos_1_E11_S59	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E11-S59-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E11-S59-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	59	0
cy53_1_CD45_pos_1_E12_S60	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E12-S60-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-E12-S60-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	60	0
cy53_1_CD45_pos_1_F01_S61	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-F01-S61-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-F01-S61-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	61	0
cy53_1_CD45_pos_1_F03_S63	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-F03-S63-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-F03-S63-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	Tcell	63	0
cy53_1_CD45_pos_1_F04_S64	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-F04-S64-comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/cy53-1-CD45-pos-1-F04-S64-comb_R2_001.fastq.gz	Melanoma_53	nonmalignant	NK	64	0
