Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp),Genotype,treatment,stain,AssemblyName,strain,agent,tissue,time_point
SRR5101971,RNA-Seq,76,81833456,PRJNA357261,SAMN06139918,31023224,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418131,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425847,WT Mouse intestinal epithelial cells,SRP095033,GSM2425847,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101972,RNA-Seq,76,114037848,PRJNA357261,SAMN06139915,42884228,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418132,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425849,WT Mouse intestinal epithelial cells,SRP095033,GSM2425849,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101973,RNA-Seq,76,122099092,PRJNA357261,SAMN06139916,47444426,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418133,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425852,WT Mouse intestinal epithelial cells,SRP095033,GSM2425852,Wild type,None,C57BL/6,,,,,
SRR5101974,RNA-Seq,76,54493824,PRJNA357261,SAMN06139913,20573453,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418134,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425854,WT Mouse intestinal epithelial cells,SRP095033,GSM2425854,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101975,RNA-Seq,76,35138600,PRJNA357261,SAMN06139911,13366460,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418135,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425855,WT Mouse intestinal epithelial cells,SRP095033,GSM2425855,Wild type,Salmonella,C57BL/6,,,,,
SRR5101976,RNA-Seq,76,129940012,PRJNA357261,SAMN06139910,50238547,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418136,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425856,WT Mouse intestinal epithelial cells,SRP095033,GSM2425856,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101977,RNA-Seq,76,89610232,PRJNA357261,SAMN06139909,33662282,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418137,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425857,WT Mouse intestinal epithelial cells,SRP095033,GSM2425857,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101978,RNA-Seq,76,113821704,PRJNA357261,SAMN06139907,42687378,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418138,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425858,WT Mouse intestinal epithelial cells,SRP095033,GSM2425858,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101979,RNA-Seq,76,114567948,PRJNA357261,SAMN06139905,44274542,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418139,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425859,WT Mouse intestinal epithelial cells,SRP095033,GSM2425859,Wild type,None,C57BL/6,,,,,
SRR5101980,RNA-Seq,76,74542472,PRJNA357261,SAMN06139904,28258752,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418140,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425860,WT Mouse intestinal epithelial cells,SRP095033,GSM2425860,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101981,RNA-Seq,76,74683908,PRJNA357261,SAMN06139900,28104061,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418141,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425861,WT Mouse intestinal epithelial cells,SRP095033,GSM2425861,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101982,RNA-Seq,76,64805656,PRJNA357261,SAMN06139902,25327364,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418142,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425862,WT Mouse intestinal epithelial cells,SRP095033,GSM2425862,Wild type,None,C57BL/6,,,,,
SRR5101983,RNA-Seq,76,77016500,PRJNA357261,SAMN06139899,30049817,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418143,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425863,WT Mouse intestinal epithelial cells,SRP095033,GSM2425863,Wild type,None,C57BL/6,,,,,
SRR5101984,RNA-Seq,76,117330700,PRJNA357261,SAMN06139895,44034493,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418144,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425864,WT Mouse intestinal epithelial cells,SRP095033,GSM2425864,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101985,RNA-Seq,76,54979312,PRJNA357261,SAMN06139897,20751434,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418145,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425865,WT Mouse intestinal epithelial cells,SRP095033,GSM2425865,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101986,RNA-Seq,76,9973860,PRJNA357261,SAMN06139893,3855452,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418146,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425866,WT Mouse intestinal epithelial cells,SRP095033,GSM2425866,Wild type,Salmonella,C57BL/6,,,,,
SRR5101987,RNA-Seq,76,87655360,PRJNA357261,SAMN06139892,33165331,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418147,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425867,WT Mouse intestinal epithelial cells,SRP095033,GSM2425867,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101988,RNA-Seq,76,96398324,PRJNA357261,SAMN06135441,36559301,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418148,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425868,WT Mouse intestinal epithelial cells,SRP095033,GSM2425868,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101989,RNA-Seq,76,81938944,PRJNA357261,SAMN06135440,31196574,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418149,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425869,WT Mouse intestinal epithelial cells,SRP095033,GSM2425869,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101990,RNA-Seq,76,67356824,PRJNA357261,SAMN06135498,25670165,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418150,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425870,WT Mouse intestinal epithelial cells,SRP095033,GSM2425870,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101991,RNA-Seq,76,53343260,PRJNA357261,SAMN06135497,20924530,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418151,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425871,WT Mouse intestinal epithelial cells,SRP095033,GSM2425871,Wild type,None,C57BL/6,,,,,
SRR5101992,RNA-Seq,76,79021608,PRJNA357261,SAMN06135496,30340644,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418152,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425872,WT Mouse intestinal epithelial cells,SRP095033,GSM2425872,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101993,RNA-Seq,76,84888580,PRJNA357261,SAMN06135495,33275868,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418153,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425873,WT Mouse intestinal epithelial cells,SRP095033,GSM2425873,Wild type,None,C57BL/6,,,,,
SRR5101994,RNA-Seq,76,57322468,PRJNA357261,SAMN06135494,21695213,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418154,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425874,WT Mouse intestinal epithelial cells,SRP095033,GSM2425874,Wild type,Salmonella,C57BL/6,,,,,
SRR5101995,RNA-Seq,76,115290100,PRJNA357261,SAMN06135439,43528841,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418155,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425875,WT Mouse intestinal epithelial cells,SRP095033,GSM2425875,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101996,RNA-Seq,76,41801976,PRJNA357261,SAMN06135500,15862013,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418156,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425876,WT Mouse intestinal epithelial cells,SRP095033,GSM2425876,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101997,RNA-Seq,76,24598008,PRJNA357261,SAMN06135499,9673696,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418157,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425877,WT Mouse intestinal epithelial cells,SRP095033,GSM2425877,Wild type,None,C57BL/6,,,,,
SRR5101998,RNA-Seq,76,77861696,PRJNA357261,SAMN06135493,29341366,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418158,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425878,WT Mouse intestinal epithelial cells,SRP095033,GSM2425878,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5101999,RNA-Seq,76,145788596,PRJNA357261,SAMN06135492,53968813,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418159,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425879,WT Mouse intestinal epithelial cells,SRP095033,GSM2425879,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102000,RNA-Seq,76,93027800,PRJNA357261,SAMN06135491,36633574,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418160,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425880,WT Mouse intestinal epithelial cells,SRP095033,GSM2425880,Wild type,None,C57BL/6,,,,,
SRR5102001,RNA-Seq,76,124522808,PRJNA357261,SAMN06135490,46491157,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418161,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425881,WT Mouse intestinal epithelial cells,SRP095033,GSM2425881,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102002,RNA-Seq,76,100866288,PRJNA357261,SAMN06135489,38650824,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418162,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425882,WT Mouse intestinal epithelial cells,SRP095033,GSM2425882,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102003,RNA-Seq,76,63338020,PRJNA357261,SAMN06135488,24126118,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418163,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425883,WT Mouse intestinal epithelial cells,SRP095033,GSM2425883,Wild type,Salmonella,C57BL/6,,,,,
SRR5102004,RNA-Seq,76,178203660,PRJNA357261,SAMN06135487,66700465,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418164,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425884,WT Mouse intestinal epithelial cells,SRP095033,GSM2425884,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102005,RNA-Seq,76,87072212,PRJNA357261,SAMN06135486,34053744,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418165,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425885,WT Mouse intestinal epithelial cells,SRP095033,GSM2425885,Wild type,None,C57BL/6,,,,,
SRR5102006,RNA-Seq,76,73100600,PRJNA357261,SAMN06135485,27723966,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418166,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425886,WT Mouse intestinal epithelial cells,SRP095033,GSM2425886,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102007,RNA-Seq,76,102104328,PRJNA357261,SAMN06135484,37612899,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418167,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425887,WT Mouse intestinal epithelial cells,SRP095033,GSM2425887,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102008,RNA-Seq,76,73035012,PRJNA357261,SAMN06135483,28622363,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418168,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425888,WT Mouse intestinal epithelial cells,SRP095033,GSM2425888,Wild type,None,C57BL/6,,,,,
SRR5102009,RNA-Seq,76,84262340,PRJNA357261,SAMN06135482,32897756,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418169,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425889,WT Mouse intestinal epithelial cells,SRP095033,GSM2425889,Wild type,None,C57BL/6,,,,,
SRR5102010,RNA-Seq,76,47509652,PRJNA357261,SAMN06135481,18593078,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418170,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425890,WT Mouse intestinal epithelial cells,SRP095033,GSM2425890,Wild type,None,C57BL/6,,,,,
SRR5102011,RNA-Seq,76,73722508,PRJNA357261,SAMN06135480,27731934,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418171,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425891,WT Mouse intestinal epithelial cells,SRP095033,GSM2425891,Wild type,H. polygyrus (Day 3),C57BL/6,,,,,
SRR5102012,RNA-Seq,76,105701484,PRJNA357261,SAMN06135479,41391113,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418172,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425892,WT Mouse intestinal epithelial cells,SRP095033,GSM2425892,Wild type,None,C57BL/6,,,,,
SRR5102013,RNA-Seq,76,65483120,PRJNA357261,SAMN06135478,25593773,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418173,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425893,WT Mouse intestinal epithelial cells,SRP095033,GSM2425893,Wild type,None,C57BL/6,,,,,
SRR5102014,RNA-Seq,76,48561492,PRJNA357261,SAMN06135477,18486450,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2418174,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-11-12T00:00:00Z,GSM2425894,WT Mouse intestinal epithelial cells,SRP095033,GSM2425894,Wild type,Salmonella,C57BL/6,,,,,
