Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,lane,LibraryLayout,LibrarySelection,LibrarySource,Organism,plate,Platform,ReleaseDate,Sample Name,source_name,SRA Study,status,time,well
SRR6815605,RNA-Seq,150,208892100,PRJNA437328,SAMN08649252,84059973,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772569,GSM3033003,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033003,Monocyte-derived dendritic cells,SRP134127,exposed,2h,D1
SRR6815606,RNA-Seq,150,183519000,PRJNA437328,SAMN08649251,76362534,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772570,GSM3033004,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033004,Monocyte-derived dendritic cells,SRP134127,exposed,2h,H2
SRR6815607,RNA-Seq,150,270085800,PRJNA437328,SAMN08649247,108192769,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772571,GSM3033005,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033005,Monocyte-derived dendritic cells,SRP134127,exposed,4h,D4
SRR6815608,RNA-Seq,150,212587350,PRJNA437328,SAMN08649246,89736303,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772572,GSM3033006,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033006,Monocyte-derived dendritic cells,SRP134127,exposed,4h,H5
SRR6815609,RNA-Seq,150,237813150,PRJNA437328,SAMN08649245,96607173,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772573,GSM3033007,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033007,Monocyte-derived dendritic cells,SRP134127,exposed,6h,D7
SRR6815610,RNA-Seq,150,206648550,PRJNA437328,SAMN08649270,84912739,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772574,GSM3033008,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033008,Monocyte-derived dendritic cells,SRP134127,exposed,6h,H8
SRR6815611,RNA-Seq,150,234762750,PRJNA437328,SAMN08649269,94687902,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772575,GSM3033009,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033009,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,D10
SRR6815612,RNA-Seq,150,222629850,PRJNA437328,SAMN08649268,89773674,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772576,GSM3033010,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033010,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,H11
SRR6815613,RNA-Seq,150,228497400,PRJNA437328,SAMN08649267,91837467,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772577,GSM3033011,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033011,Monocyte-derived dendritic cells,SRP134127,exposed,2h,E1
SRR6815614,RNA-Seq,150,247983450,PRJNA437328,SAMN08649266,101373817,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772578,GSM3033012,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033012,Monocyte-derived dendritic cells,SRP134127,infected,2h,A3
SRR6815615,RNA-Seq,150,272862150,PRJNA437328,SAMN08649265,108992784,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772579,GSM3033013,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033013,Monocyte-derived dendritic cells,SRP134127,exposed,4h,E4
SRR6815616,RNA-Seq,150,205262550,PRJNA437328,SAMN08649264,83887200,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772580,GSM3033014,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033014,Monocyte-derived dendritic cells,SRP134127,infected,4h,A6
SRR6815617,RNA-Seq,150,246790050,PRJNA437328,SAMN08649263,102363047,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772581,GSM3033015,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033015,Monocyte-derived dendritic cells,SRP134127,exposed,6h,E7
SRR6815618,RNA-Seq,150,249436050,PRJNA437328,SAMN08649262,100595088,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772582,GSM3033016,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033016,Monocyte-derived dendritic cells,SRP134127,infected,6h,A9
SRR6815619,RNA-Seq,150,238318500,PRJNA437328,SAMN08649261,96199201,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772583,GSM3033017,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033017,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,E10
SRR6815620,RNA-Seq,150,274186800,PRJNA437328,SAMN08649260,110311129,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772584,GSM3033018,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033018,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,A12
SRR6815621,RNA-Seq,150,231384000,PRJNA437328,SAMN08649259,93266259,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772585,GSM3033019,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033019,Monocyte-derived dendritic cells,SRP134127,exposed,2h,F1
SRR6815622,RNA-Seq,150,303269550,PRJNA437328,SAMN08649258,121640138,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772586,GSM3033020,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033020,Monocyte-derived dendritic cells,SRP134127,infected,2h,B3
SRR6815623,RNA-Seq,150,264087300,PRJNA437328,SAMN08649257,105926326,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772587,GSM3033021,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033021,Monocyte-derived dendritic cells,SRP134127,exposed,4h,F4
SRR6815624,RNA-Seq,150,264322200,PRJNA437328,SAMN08649256,106586396,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772588,GSM3033022,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033022,Monocyte-derived dendritic cells,SRP134127,infected,4h,B6
SRR6815625,RNA-Seq,150,307689300,PRJNA437328,SAMN08649810,122947861,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772589,GSM3033023,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033023,Monocyte-derived dendritic cells,SRP134127,exposed,6h,F7
SRR6815626,RNA-Seq,150,258654150,PRJNA437328,SAMN08649809,107896396,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772590,GSM3033024,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033024,Monocyte-derived dendritic cells,SRP134127,infected,6h,B9
SRR6815627,RNA-Seq,150,251506650,PRJNA437328,SAMN08649808,102101101,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772591,GSM3033025,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033025,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,F10
SRR6815628,RNA-Seq,150,261706650,PRJNA437328,SAMN08649319,105700125,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772592,GSM3033026,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033026,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,B12
SRR6815629,RNA-Seq,150,271707300,PRJNA437328,SAMN08649318,108731350,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772593,GSM3033027,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033027,Monocyte-derived dendritic cells,SRP134127,exposed,2h,G1
SRR6815630,RNA-Seq,150,273709950,PRJNA437328,SAMN08649317,110385926,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772594,GSM3033028,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033028,Monocyte-derived dendritic cells,SRP134127,infected,2h,C3
SRR6815631,RNA-Seq,150,269065800,PRJNA437328,SAMN08649316,107508002,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772595,GSM3033029,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033029,Monocyte-derived dendritic cells,SRP134127,exposed,4h,G4
SRR6815632,RNA-Seq,150,252201000,PRJNA437328,SAMN08649255,102107366,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772596,GSM3033030,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033030,Monocyte-derived dendritic cells,SRP134127,infected,4h,C6
SRR6815633,RNA-Seq,150,304037250,PRJNA437328,SAMN08649315,120152710,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772597,GSM3033031,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033031,Monocyte-derived dendritic cells,SRP134127,exposed,6h,G7
SRR6815634,RNA-Seq,150,274914600,PRJNA437328,SAMN08649314,111026976,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772598,GSM3033032,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033032,Monocyte-derived dendritic cells,SRP134127,infected,6h,C9
SRR6815635,RNA-Seq,150,278245800,PRJNA437328,SAMN08649313,112123035,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772599,GSM3033033,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033033,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,G10
SRR6815636,RNA-Seq,150,264930150,PRJNA437328,SAMN08649312,107127926,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772600,GSM3033034,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033034,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,C12
SRR6815637,RNA-Seq,150,210192150,PRJNA437328,SAMN08649311,84475555,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772601,GSM3033035,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033035,Monocyte-derived dendritic cells,SRP134127,exposed,2h,H1
SRR6815638,RNA-Seq,150,251426250,PRJNA437328,SAMN08649310,101022961,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772602,GSM3033036,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033036,Monocyte-derived dendritic cells,SRP134127,infected,2h,D3
SRR6815639,RNA-Seq,150,248226150,PRJNA437328,SAMN08649309,98857115,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772603,GSM3033037,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033037,Monocyte-derived dendritic cells,SRP134127,exposed,4h,H4
SRR6815640,RNA-Seq,150,232570800,PRJNA437328,SAMN08649230,94253212,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772604,GSM3033038,LT2,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033038,Monocyte-derived dendritic cells,SRP134127,infected,4h,D6
SRR6815641,RNA-Seq,150,266884500,PRJNA437328,SAMN08649229,106377661,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772605,GSM3033039,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033039,Monocyte-derived dendritic cells,SRP134127,exposed,6h,H7
SRR6815642,RNA-Seq,150,275487000,PRJNA437328,SAMN08649228,110183357,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772606,GSM3033040,D23580,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033040,Monocyte-derived dendritic cells,SRP134127,infected,6h,D9
SRR6815643,RNA-Seq,150,265913400,PRJNA437328,SAMN08649227,106258809,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3772607,GSM3033041,Mock,Illumina HiSeq 4000,305264,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P1,ILLUMINA,2018-10-25T00:00:00Z,GSM3033041,Monocyte-derived dendritic cells,SRP134127,uninfected,2h,H10
