Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treatment
SRR8890806,RNA-Seq,302,23193744960,PRJNA509910,SAMN11407823,10012140307,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su010,SRX5676475,GSM3721472,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721472,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890808,RNA-Seq,302,9126138906,PRJNA509910,SAMN11407816,3704467693,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su011,SRX5676477,GSM3721474,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721474,Squamous cell carcinoma tumor,SRP173389,pre
SRR8890810,RNA-Seq,302,2093940254,PRJNA509910,SAMN11407821,895861174,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su012,SRX5676479,GSM3721476,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721476,Basal cell carcinoma tumor,SRP173389,post
SRR8890811,RNA-Seq,302,20896256404,PRJNA509910,SAMN11407820,8917826351,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su012,SRX5676480,GSM3721477,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721477,Basal cell carcinoma tumor,SRP173389,pre
SRR8890813,RNA-Seq,302,6880232554,PRJNA509910,SAMN11407818,2912806400,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su013,SRX5676482,GSM3721479,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3721479,Squamous cell carcinoma tumor,SRP173389,pre
SRR8315733,RNA-Seq,124,8274414724,PRJNA509910,SAMN10589740,3765245396,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128478,GSM3511735,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511735,Basal cell carinoma tumor,SRP173389,pre
SRR8315734,RNA-Seq,124,896600476,PRJNA509910,SAMN10589739,404318099,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128479,GSM3511736,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511736,Basal cell carinoma tumor,SRP173389,pre
SRR8315735,RNA-Seq,124,3100701468,PRJNA509910,SAMN10589738,1335868985,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128480,GSM3511737,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511737,Basal cell carinoma tumor,SRP173389,pre
SRR8315736,RNA-Seq,124,31212777676,PRJNA509910,SAMN10589737,14096462217,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128481,GSM3511738,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511738,Basal cell carinoma tumor,SRP173389,post
SRR8315737,RNA-Seq,124,64421093676,PRJNA509910,SAMN10589736,28152188870,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su001,SRX5128482,GSM3511739,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511739,Basal cell carinoma tumor,SRP173389,post
SRR8315738,RNA-Seq,124,1927056472,PRJNA509910,SAMN10589735,820403623,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su002,SRX5128483,GSM3511740,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511740,Basal cell carinoma tumor,SRP173389,pre
SRR8315739,RNA-Seq,124,2314607560,PRJNA509910,SAMN10589734,982007007,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su002,SRX5128484,GSM3511741,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511741,Basal cell carinoma tumor,SRP173389,post
SRR8315740,RNA-Seq,124,529295240,PRJNA509910,SAMN10589733,225819268,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su002,SRX5128485,GSM3511742,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511742,Basal cell carinoma tumor,SRP173389,post
SRR8315741,RNA-Seq,124,4263140584,PRJNA509910,SAMN10589732,1855196659,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su003,SRX5128486,GSM3511743,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511743,Basal cell carinoma tumor,SRP173389,pre
SRR8315744,RNA-Seq,124,1425018912,PRJNA509910,SAMN10589729,620692044,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su003,SRX5128489,GSM3511746,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511746,Basal cell carinoma tumor,SRP173389,post
SRR8315745,RNA-Seq,124,7493748296,PRJNA509910,SAMN10589728,3196928303,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su004,SRX5128490,GSM3511747,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511747,Basal cell carinoma tumor,SRP173389,pre
SRR8315746,RNA-Seq,124,1906978020,PRJNA509910,SAMN10589768,809711084,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su004,SRX5128491,GSM3511748,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511748,Basal cell carinoma tumor,SRP173389,pre
SRR8315747,RNA-Seq,124,3744621936,PRJNA509910,SAMN10589767,1591249893,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su004,SRX5128492,GSM3511749,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511749,Basal cell carinoma tumor,SRP173389,post
SRR8315748,RNA-Seq,124,7415685460,PRJNA509910,SAMN10589766,3167904560,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su004,SRX5128493,GSM3511750,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511750,Basal cell carinoma tumor,SRP173389,post
SRR8315749,RNA-Seq,124,10152054592,PRJNA509910,SAMN10589765,4424120152,CD45+ CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128494,GSM3511751,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511751,Basal cell carinoma tumor,SRP173389,pre
SRR8315750,RNA-Seq,124,8641705080,PRJNA509910,SAMN10589764,3752978977,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128495,GSM3511752,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511752,Basal cell carinoma tumor,SRP173389,pre
SRR8315751,RNA-Seq,124,6621273880,PRJNA509910,SAMN10589763,2926152485,CD45- CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128496,GSM3511753,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511753,Basal cell carinoma tumor,SRP173389,pre
SRR8315752,RNA-Seq,124,16786907340,PRJNA509910,SAMN10589762,7321271763,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128497,GSM3511754,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511754,Basal cell carinoma tumor,SRP173389,post
SRR8315753,RNA-Seq,124,12449394284,PRJNA509910,SAMN10589700,5415828753,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su005,SRX5128498,GSM3511755,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511755,Basal cell carinoma tumor,SRP173389,post
SRR8315754,RNA-Seq,124,12272696144,PRJNA509910,SAMN10589698,5293013641,CD45+ CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128499,GSM3511756,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511756,Basal cell carinoma tumor,SRP173389,pre
SRR8315755,RNA-Seq,124,11658290776,PRJNA509910,SAMN10589697,5196959472,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128500,GSM3511757,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511757,Basal cell carinoma tumor,SRP173389,pre
SRR8315756,RNA-Seq,124,15043910020,PRJNA509910,SAMN10589696,6728333110,CD45- CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128501,GSM3511758,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511758,Basal cell carinoma tumor,SRP173389,pre
SRR8315757,RNA-Seq,124,12230032332,PRJNA509910,SAMN10589695,5451634055,CD45+ CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128502,GSM3511759,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511759,Basal cell carinoma tumor,SRP173389,post
SRR8315758,RNA-Seq,124,18523701560,PRJNA509910,SAMN10589694,8206466626,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128503,GSM3511760,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511760,Basal cell carinoma tumor,SRP173389,post
SRR8315759,RNA-Seq,124,6203528792,PRJNA509910,SAMN10589693,2780845015,CD45- CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su006,SRX5128504,GSM3511761,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511761,Basal cell carinoma tumor,SRP173389,post
SRR8315760,RNA-Seq,124,12373868984,PRJNA509910,SAMN10589692,5385306404,CD45+ CD3+,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su007,SRX5128505,GSM3511762,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511762,Basal cell carinoma tumor,SRP173389,pre
SRR8315761,RNA-Seq,124,6390657192,PRJNA509910,SAMN10589691,2818994995,CD3-,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su007,SRX5128506,GSM3511763,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511763,Basal cell carinoma tumor,SRP173389,pre
SRR8315762,RNA-Seq,124,2324312916,PRJNA509910,SAMN10589690,1016952377,All,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",su007,SRX5128507,GSM3511764,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-24T00:00:00Z,GSM3511764,Basal cell carinoma tumor,SRP173389,post
