patient	sample	celltype	plate	well
MGH42	MGH42-P8-B04	Tumor	P8	B04
MGH42	MGH42-P8-B06	Tumor	P8	B06
MGH42	MGH42-P8-B10	Tumor	P8	B10
MGH42	MGH42-P8-B11	Tumor	P8	B11
MGH42	MGH42-P8-B12	Tumor	P8	B12
MGH42	MGH42-P8-C02	Tumor	P8	C02
MGH42	MGH42-P8-C08	Tumor	P8	C08
MGH42	MGH42-P8-C09	Tumor	P8	C09
MGH42	MGH42-P8-C10	Tumor	P8	C10
MGH42	MGH42-P8-D03	Tumor	P8	D03
MGH42	MGH42-P8-D06	Tumor	P8	D06
MGH42	MGH42-P8-D09	Tumor	P8	D09
MGH42	MGH42-P8-D12	Tumor	P8	D12
MGH42	MGH42-P8-E06	Tumor	P8	E06
MGH42	MGH42-P8-E10	Tumor	P8	E10
MGH42	MGH42-P8-E11	Tumor	P8	E11
MGH42	MGH42-P8-E12	Tumor	P8	E12
MGH42	MGH42-P8-F01	Tumor	P8	F01
MGH42	MGH42-P8-F07	Tumor	P8	F07
MGH42	MGH42-P8-F11	Tumor	P8	F11
MGH42	MGH42-P8-G02	Tumor	P8	G02
MGH42	MGH42-P8-G04	Tumor	P8	G04
MGH42	MGH42-P8-G05	Tumor	P8	G05
MGH42	MGH42-P8-G06	Tumor	P8	G06
MGH42	MGH42-P8-G09	Tumor	P8	G09
MGH42	MGH42-P8-H06	Tumor	P8	H06
MGH42	MGH42-P8-H10	Tumor	P8	H10
MGH42	MGH42-P12-A01	Tumor	P12	A01
MGH42	MGH42-P12-A02	Tumor	P12	A02
MGH42	MGH42-P12-A03	Tumor	P12	A03
MGH42	MGH42-P12-A04	Tumor	P12	A04
MGH42	MGH42-P12-A06	Tumor	P12	A06
MGH42	MGH42-P12-A08	Tumor	P12	A08
MGH42	MGH42-P12-A09	Tumor	P12	A09
MGH42	MGH42-P12-A10	Tumor	P12	A10
MGH42	MGH42-P12-B01	Tumor	P12	B01
MGH42	MGH42-P12-B02	Tumor	P12	B02
MGH42	MGH42-P12-B04	Tumor	P12	B04
MGH42	MGH42-P12-B06	Tumor	P12	B06
MGH42	MGH42-P12-B07	Tumor	P12	B07
MGH42	MGH42-P12-B09	Tumor	P12	B09
MGH42	MGH42-P12-B10	Tumor	P12	B10
MGH42	MGH42-P12-B11	Tumor	P12	B11
MGH42	MGH42-P12-B12	Tumor	P12	B12
MGH42	MGH42-P12-C01	Tumor	P12	C01
MGH42	MGH42-P12-C02	Tumor	P12	C02
MGH42	MGH42-P12-C04	Tumor	P12	C04
MGH42	MGH42-P12-C06	Tumor	P12	C06
MGH42	MGH42-P12-C07	Tumor	P12	C07
MGH42	MGH42-P12-C08	Tumor	P12	C08
MGH42	MGH42-P12-C09	Tumor	P12	C09
MGH42	MGH42-P12-C10	Tumor	P12	C10
MGH42	MGH42-P12-C11	Tumor	P12	C11
MGH42	MGH42-P12-C12	Tumor	P12	C12
MGH42	MGH42-P12-D03	Tumor	P12	D03
MGH42	MGH42-P12-D04	Tumor	P12	D04
MGH42	MGH42-P12-D05	Tumor	P12	D05
MGH42	MGH42-P12-D06	Tumor	P12	D06
MGH42	MGH42-P12-D08	Tumor	P12	D08
MGH42	MGH42-P12-D10	Tumor	P12	D10
MGH42	MGH42-P12-D11	Tumor	P12	D11
MGH42	MGH42-P12-D12	Tumor	P12	D12
MGH42	MGH42-P12-E02	Tumor	P12	E02
MGH42	MGH42-P12-E03	Tumor	P12	E03
MGH42	MGH42-P12-E05	Tumor	P12	E05
MGH42	MGH42-P12-E07	Tumor	P12	E07
MGH42	MGH42-P12-E08	Tumor	P12	E08
MGH42	MGH42-P12-E09	Tumor	P12	E09
MGH42	MGH42-P12-E10	Tumor	P12	E10
MGH42	MGH42-P12-E12	Tumor	P12	E12
MGH42	MGH42-P12-F01	Tumor	P12	F01
MGH42	MGH42-P12-F03	Tumor	P12	F03
MGH42	MGH42-P12-F04	Tumor	P12	F04
MGH42	MGH42-P12-F05	Tumor	P12	F05
MGH42	MGH42-P12-F06	Tumor	P12	F06
MGH42	MGH42-P12-F07	Tumor	P12	F07
MGH42	MGH42-P12-F08	Tumor	P12	F08
MGH42	MGH42-P12-F11	Tumor	P12	F11
MGH42	MGH42-P12-F12	Tumor	P12	F12
MGH42	MGH42-P12-G01	Tumor	P12	G01
MGH42	MGH42-P12-G05	Tumor	P12	G05
MGH42	MGH42-P12-G06	Tumor	P12	G06
MGH42	MGH42-P12-G07	Tumor	P12	G07
MGH42	MGH42-P12-G08	Tumor	P12	G08
MGH42	MGH42-P12-G09	Tumor	P12	G09
MGH42	MGH42-P12-G10	Tumor	P12	G10
MGH42	MGH42-P12-G11	Tumor	P12	G11
MGH42	MGH42-P12-G12	Tumor	P12	G12
MGH42	MGH42-P12-H02	Tumor	P12	H02
MGH42	MGH42-P12-H04	Tumor	P12	H04
MGH42	MGH42-P12-H05	Tumor	P12	H05
MGH42	MGH42-P12-H06	Tumor	P12	H06
MGH42	MGH42-P12-H07	Tumor	P12	H07
MGH42	MGH42-P12-H08	Tumor	P12	H08
MGH42	MGH42-P12-H09	Tumor	P12	H09
MGH42	MGH42-P12-H10	Tumor	P12	H10
MGH42	MGH42-P12-H11	Tumor	P12	H11
MGH42	MGH42-P12-H12	Tumor	P12	H12
MGH42	MGH42-P13-A01	Tumor	P13	A01
MGH42	MGH42-P13-A03	Tumor	P13	A03
MGH42	MGH42-P13-A04	Tumor	P13	A04
MGH42	MGH42-P13-A06	Tumor	P13	A06
MGH42	MGH42-P13-A07	Tumor	P13	A07
MGH42	MGH42-P13-A09	Tumor	P13	A09
MGH42	MGH42-P13-A10	Tumor	P13	A10
MGH42	MGH42-P13-A11	Tumor	P13	A11
MGH42	MGH42-P13-A12	Tumor	P13	A12
MGH42	MGH42-P13-B01	Tumor	P13	B01
MGH42	MGH42-P13-B05	Tumor	P13	B05
MGH42	MGH42-P13-B06	Tumor	P13	B06
MGH42	MGH42-P13-B09	Tumor	P13	B09
MGH42	MGH42-P13-B10	Tumor	P13	B10
MGH42	MGH42-P13-B12	Tumor	P13	B12
MGH42	MGH42-P13-C01	Tumor	P13	C01
MGH42	MGH42-P13-C02	Tumor	P13	C02
MGH42	MGH42-P13-C03	Tumor	P13	C03
MGH42	MGH42-P13-C04	Tumor	P13	C04
MGH42	MGH42-P13-C05	Tumor	P13	C05
MGH42	MGH42-P13-C08	Tumor	P13	C08
MGH42	MGH42-P13-C09	Tumor	P13	C09
MGH42	MGH42-P13-C10	Tumor	P13	C10
MGH42	MGH42-P13-C11	Tumor	P13	C11
MGH42	MGH42-P13-D02	Tumor	P13	D02
MGH42	MGH42-P13-D03	Tumor	P13	D03
MGH42	MGH42-P13-D04	Tumor	P13	D04
MGH42	MGH42-P13-D06	Tumor	P13	D06
MGH42	MGH42-P13-D08	Tumor	P13	D08
MGH42	MGH42-P13-D09	Tumor	P13	D09
MGH42	MGH42-P13-D10	Tumor	P13	D10
MGH42	MGH42-P13-D11	Tumor	P13	D11
MGH42	MGH42-P13-D12	Tumor	P13	D12
MGH42	MGH42-P13-E02	Tumor	P13	E02
MGH42	MGH42-P13-E04	Tumor	P13	E04
MGH42	MGH42-P13-E05	Tumor	P13	E05
MGH42	MGH42-P13-E06	Tumor	P13	E06
MGH42	MGH42-P13-E08	Tumor	P13	E08
MGH42	MGH42-P13-E09	Tumor	P13	E09
MGH42	MGH42-P13-E10	Tumor	P13	E10
MGH42	MGH42-P13-E12	Tumor	P13	E12
MGH42	MGH42-P13-F01	Tumor	P13	F01
MGH42	MGH42-P13-F02	Tumor	P13	F02
MGH42	MGH42-P13-F04	Tumor	P13	F04
MGH42	MGH42-P13-F05	Tumor	P13	F05
MGH42	MGH42-P13-F06	Tumor	P13	F06
MGH42	MGH42-P13-F08	Tumor	P13	F08
MGH42	MGH42-P13-F09	Tumor	P13	F09
MGH42	MGH42-P13-F10	Tumor	P13	F10
MGH42	MGH42-P13-F12	Tumor	P13	F12
MGH42	MGH42-P13-G01	Tumor	P13	G01
MGH42	MGH42-P13-G03	Tumor	P13	G03
MGH42	MGH42-P13-G04	Tumor	P13	G04
MGH42	MGH42-P13-G05	Tumor	P13	G05
MGH42	MGH42-P13-G08	Tumor	P13	G08
MGH42	MGH42-P13-G09	Tumor	P13	G09
MGH42	MGH42-P13-G10	Tumor	P13	G10
MGH42	MGH42-P13-G12	Tumor	P13	G12
MGH42	MGH42-P13-H02	Tumor	P13	H02
MGH42	MGH42-P13-H03	Tumor	P13	H03
MGH42	MGH42-P13-H04	Tumor	P13	H04
MGH42	MGH42-P13-H05	Tumor	P13	H05
MGH42	MGH42-P13-H06	Tumor	P13	H06
MGH42	MGH42-P13-H09	Tumor	P13	H09
MGH42	MGH42-P13-H10	Tumor	P13	H10
MGH42	MGH42-P13-H11	Tumor	P13	H11
MGH42	MGH42-P13-H12	Tumor	P13	H12
MGH42	MGH42-P14-A01	Tumor	P14	A01
MGH42	MGH42-P14-A02	Tumor	P14	A02
MGH42	MGH42-P14-A03	Tumor	P14	A03
MGH42	MGH42-P14-A05	Tumor	P14	A05
MGH42	MGH42-P14-A06	Tumor	P14	A06
MGH42	MGH42-P14-A07	Tumor	P14	A07
MGH42	MGH42-P14-A09	Tumor	P14	A09
MGH42	MGH42-P14-A10	Tumor	P14	A10
MGH42	MGH42-P14-A12	Tumor	P14	A12
MGH42	MGH42-P14-B03	Tumor	P14	B03
MGH42	MGH42-P14-B04	Tumor	P14	B04
MGH42	MGH42-P14-B05	Tumor	P14	B05
MGH42	MGH42-P14-B06	Tumor	P14	B06
MGH42	MGH42-P14-B07	Tumor	P14	B07
MGH42	MGH42-P14-B08	Tumor	P14	B08
MGH42	MGH42-P14-B09	Tumor	P14	B09
MGH42	MGH42-P14-B11	Tumor	P14	B11
MGH42	MGH42-P14-B12	Tumor	P14	B12
MGH42	MGH42-P14-C01	Tumor	P14	C01
MGH42	MGH42-P14-C03	Tumor	P14	C03
MGH42	MGH42-P14-C04	Tumor	P14	C04
MGH42	MGH42-P14-C05	Tumor	P14	C05
MGH42	MGH42-P14-C06	Tumor	P14	C06
MGH42	MGH42-P14-C09	Tumor	P14	C09
MGH42	MGH42-P14-C10	Tumor	P14	C10
MGH42	MGH42-P14-D02	Tumor	P14	D02
MGH42	MGH42-P14-D03	Tumor	P14	D03
MGH42	MGH42-P14-D04	Tumor	P14	D04
MGH42	MGH42-P14-D05	Tumor	P14	D05
MGH42	MGH42-P14-D06	Tumor	P14	D06
MGH42	MGH42-P14-D08	Tumor	P14	D08
MGH42	MGH42-P14-D09	Tumor	P14	D09
MGH42	MGH42-P14-D10	Tumor	P14	D10
MGH42	MGH42-P14-D11	Tumor	P14	D11
MGH42	MGH42-P14-D12	Tumor	P14	D12
MGH42	MGH42-P14-E01	Tumor	P14	E01
MGH42	MGH42-P14-E02	Tumor	P14	E02
MGH42	MGH42-P14-E03	Tumor	P14	E03
MGH42	MGH42-P14-E04	Tumor	P14	E04
MGH42	MGH42-P14-E06	Tumor	P14	E06
MGH42	MGH42-P14-E07	Tumor	P14	E07
MGH42	MGH42-P14-E08	Tumor	P14	E08
MGH42	MGH42-P14-E10	Tumor	P14	E10
MGH42	MGH42-P14-E12	Tumor	P14	E12
MGH42	MGH42-P14-F02	Tumor	P14	F02
MGH42	MGH42-P14-F05	Tumor	P14	F05
MGH42	MGH42-P14-F08	Tumor	P14	F08
MGH42	MGH42-P14-F09	Tumor	P14	F09
MGH42	MGH42-P14-F10	Tumor	P14	F10
MGH42	MGH42-P14-F11	Tumor	P14	F11
MGH42	MGH42-P14-F12	Tumor	P14	F12
MGH42	MGH42-P14-G01	Tumor	P14	G01
MGH42	MGH42-P14-G02	Tumor	P14	G02
MGH42	MGH42-P14-G03	Tumor	P14	G03
MGH42	MGH42-P14-G04	Tumor	P14	G04
MGH42	MGH42-P14-G05	Tumor	P14	G05
MGH42	MGH42-P14-G06	Tumor	P14	G06
MGH42	MGH42-P14-G07	Tumor	P14	G07
MGH42	MGH42-P14-G09	Tumor	P14	G09
MGH42	MGH42-P14-G11	Tumor	P14	G11
MGH42	MGH42-P14-G12	Tumor	P14	G12
MGH42	MGH42-P14-H01	Tumor	P14	H01
MGH42	MGH42-P14-H02	Tumor	P14	H02
MGH42	MGH42-P14-H03	Tumor	P14	H03
MGH42	MGH42-P14-H04	Tumor	P14	H04
MGH42	MGH42-P14-H05	Tumor	P14	H05
MGH42	MGH42-P14-H06	Tumor	P14	H06
MGH42	MGH42-P14-H08	Tumor	P14	H08
MGH42	MGH42-P14-H10	Tumor	P14	H10
MGH42	MGH42-P15-A01	Tumor	P15	A01
MGH42	MGH42-P15-A03	Tumor	P15	A03
MGH42	MGH42-P15-A04	Tumor	P15	A04
MGH42	MGH42-P15-A06	Tumor	P15	A06
MGH42	MGH42-P15-A07	Tumor	P15	A07
MGH42	MGH42-P15-A10	Tumor	P15	A10
MGH42	MGH42-P15-A11	Tumor	P15	A11
MGH42	MGH42-P15-A12	Tumor	P15	A12
MGH42	MGH42-P15-B01	Tumor	P15	B01
MGH42	MGH42-P15-B03	Tumor	P15	B03
MGH42	MGH42-P15-B04	Tumor	P15	B04
MGH42	MGH42-P15-B05	Tumor	P15	B05
MGH42	MGH42-P15-B06	Tumor	P15	B06
MGH42	MGH42-P15-B07	Tumor	P15	B07
MGH42	MGH42-P15-B08	Tumor	P15	B08
MGH42	MGH42-P15-B10	Tumor	P15	B10
MGH42	MGH42-P15-B12	Tumor	P15	B12
MGH42	MGH42-P15-C02	Tumor	P15	C02
MGH42	MGH42-P15-C03	Tumor	P15	C03
MGH42	MGH42-P15-C06	Tumor	P15	C06
MGH42	MGH42-P15-C08	Tumor	P15	C08
MGH42	MGH42-P15-C09	Tumor	P15	C09
MGH42	MGH42-P15-C10	Tumor	P15	C10
MGH42	MGH42-P15-C12	Tumor	P15	C12
MGH42	MGH42-P15-D02	Tumor	P15	D02
MGH42	MGH42-P15-D06	Tumor	P15	D06
MGH42	MGH42-P15-D09	Tumor	P15	D09
MGH42	MGH42-P15-D11	Tumor	P15	D11
MGH42	MGH42-P15-D12	Tumor	P15	D12
MGH42	MGH42-P15-E04	Tumor	P15	E04
MGH42	MGH42-P15-E05	Tumor	P15	E05
MGH42	MGH42-P15-E06	Tumor	P15	E06
MGH42	MGH42-P15-E07	Tumor	P15	E07
MGH42	MGH42-P15-E08	Tumor	P15	E08
MGH42	MGH42-P15-E09	Tumor	P15	E09
MGH42	MGH42-P15-E10	Tumor	P15	E10
MGH42	MGH42-P15-E11	Tumor	P15	E11
MGH42	MGH42-P15-E12	Tumor	P15	E12
MGH42	MGH42-P15-F02	Tumor	P15	F02
MGH42	MGH42-P15-F05	Tumor	P15	F05
MGH42	MGH42-P15-F08	Tumor	P15	F08
MGH42	MGH42-P15-F11	Tumor	P15	F11
MGH42	MGH42-P15-F12	Tumor	P15	F12
MGH42	MGH42-P15-G01	Tumor	P15	G01
MGH42	MGH42-P15-G02	Tumor	P15	G02
MGH42	MGH42-P15-G03	Tumor	P15	G03
MGH42	MGH42-P15-G06	Tumor	P15	G06
MGH42	MGH42-P15-G07	Tumor	P15	G07
MGH42	MGH42-P15-G08	Tumor	P15	G08
MGH42	MGH42-P15-G09	Tumor	P15	G09
MGH42	MGH42-P15-G10	Tumor	P15	G10
MGH42	MGH42-P15-G11	Tumor	P15	G11
MGH42	MGH42-P15-G12	Tumor	P15	G12
MGH42	MGH42-P15-H03	Tumor	P15	H03
MGH42	MGH42-P15-H04	Tumor	P15	H04
MGH42	MGH42-P15-H05	Tumor	P15	H05
MGH42	MGH42-P15-H07	Tumor	P15	H07
MGH42	MGH42-P15-H08	Tumor	P15	H08
MGH42	MGH42-P15-H09	Tumor	P15	H09
MGH42	MGH42-P15-H10	Tumor	P15	H10
MGH42	MGH42-P15-H12	Tumor	P15	H12
MGH42	MGH42-P3-A02	Tumor	P3	A02
MGH42	MGH42-P3-A04	Tumor	P3	A04
MGH42	MGH42-P3-A10	Tumor	P3	A10
MGH42	MGH42-P3-A12	Tumor	P3	A12
MGH42	MGH42-P3-B01	Tumor	P3	B01
MGH42	MGH42-P3-B04	Tumor	P3	B04
MGH42	MGH42-P3-B05	Tumor	P3	B05
MGH42	MGH42-P3-B08	Tumor	P3	B08
MGH42	MGH42-P3-B09	Tumor	P3	B09
MGH42	MGH42-P3-B11	Tumor	P3	B11
MGH42	MGH42-P3-B12	Tumor	P3	B12
MGH42	MGH42-P3-C07	Tumor	P3	C07
MGH42	MGH42-P3-C10	Tumor	P3	C10
MGH42	MGH42-P3-D02	Tumor	P3	D02
MGH42	MGH42-P3-D04	Tumor	P3	D04
MGH42	MGH42-P3-D05	Tumor	P3	D05
MGH42	MGH42-P3-D06	Tumor	P3	D06
MGH42	MGH42-P3-D12	Tumor	P3	D12
MGH42	MGH42-P3-E01	Tumor	P3	E01
MGH42	MGH42-P3-E02	Tumor	P3	E02
MGH42	MGH42-P3-E03	Tumor	P3	E03
MGH42	MGH42-P3-E04	Tumor	P3	E04
MGH42	MGH42-P3-E05	Tumor	P3	E05
MGH42	MGH42-P3-E07	Tumor	P3	E07
MGH42	MGH42-P3-E08	Tumor	P3	E08
MGH42	MGH42-P3-F02	Tumor	P3	F02
MGH42	MGH42-P3-F03	Tumor	P3	F03
MGH42	MGH42-P3-F06	Tumor	P3	F06
MGH42	MGH42-P3-F08	Tumor	P3	F08
MGH42	MGH42-P3-F09	Tumor	P3	F09
MGH42	MGH42-P3-G05	Tumor	P3	G05
MGH42	MGH42-P3-G06	Tumor	P3	G06
MGH42	MGH42-P3-G08	Tumor	P3	G08
MGH42	MGH42-P3-G09	Tumor	P3	G09
MGH42	MGH42-P3-G11	Tumor	P3	G11
MGH42	MGH42-P3-H01	Tumor	P3	H01
MGH42	MGH42-P3-H04	Tumor	P3	H04
MGH42	MGH42-P3-H09	Tumor	P3	H09
MGH42	MGH42-P4-A02	Tumor	P4	A02
MGH42	MGH42-P4-A03	Tumor	P4	A03
MGH42	MGH42-P4-A07	Tumor	P4	A07
MGH42	MGH42-P4-A08	Tumor	P4	A08
MGH42	MGH42-P4-A11	Tumor	P4	A11
MGH42	MGH42-P4-B01	Tumor	P4	B01
MGH42	MGH42-P4-B12	Tumor	P4	B12
MGH42	MGH42-P4-C01	Tumor	P4	C01
MGH42	MGH42-P4-C02	Tumor	P4	C02
MGH42	MGH42-P4-C07	Tumor	P4	C07
MGH42	MGH42-P4-C09	Tumor	P4	C09
MGH42	MGH42-P4-C10	Tumor	P4	C10
MGH42	MGH42-P4-D01	Tumor	P4	D01
MGH42	MGH42-P4-D05	Tumor	P4	D05
MGH42	MGH42-P4-D10	Tumor	P4	D10
MGH42	MGH42-P4-E01	Tumor	P4	E01
MGH42	MGH42-P4-E02	Tumor	P4	E02
MGH42	MGH42-P4-E07	Tumor	P4	E07
MGH42	MGH42-P4-E08	Tumor	P4	E08
MGH42	MGH42-P4-E09	Tumor	P4	E09
MGH42	MGH42-P4-E10	Tumor	P4	E10
MGH42	MGH42-P4-E12	Tumor	P4	E12
MGH42	MGH42-P4-F01	Tumor	P4	F01
MGH42	MGH42-P4-F02	Tumor	P4	F02
MGH42	MGH42-P4-F04	Tumor	P4	F04
MGH42	MGH42-P4-F06	Tumor	P4	F06
MGH42	MGH42-P4-F08	Tumor	P4	F08
MGH42	MGH42-P4-F09	Tumor	P4	F09
MGH42	MGH42-P4-G02	Tumor	P4	G02
MGH42	MGH42-P4-G03	Tumor	P4	G03
MGH42	MGH42-P4-G06	Tumor	P4	G06
MGH42	MGH42-P4-G08	Tumor	P4	G08
MGH42	MGH42-P4-G10	Tumor	P4	G10
MGH42	MGH42-P4-G12	Tumor	P4	G12
MGH42	MGH42-P4-H01	Tumor	P4	H01
MGH42	MGH42-P4-H03	Tumor	P4	H03
MGH42	MGH42-P5-A02	Tumor	P5	A02
MGH42	MGH42-P5-A03	Tumor	P5	A03
MGH42	MGH42-P5-A04	Tumor	P5	A04
MGH42	MGH42-P5-A10	Tumor	P5	A10
MGH42	MGH42-P5-A12	Tumor	P5	A12
MGH42	MGH42-P5-B03	Tumor	P5	B03
MGH42	MGH42-P5-B11	Tumor	P5	B11
MGH42	MGH42-P5-C04	Tumor	P5	C04
MGH42	MGH42-P5-C07	Tumor	P5	C07
MGH42	MGH42-P5-C10	Tumor	P5	C10
MGH42	MGH42-P5-C12	Tumor	P5	C12
MGH42	MGH42-P5-D03	Tumor	P5	D03
MGH42	MGH42-P5-E02	Tumor	P5	E02
MGH42	MGH42-P5-E04	Tumor	P5	E04
MGH42	MGH42-P5-E07	Tumor	P5	E07
MGH42	MGH42-P5-E08	Tumor	P5	E08
MGH42	MGH42-P5-E09	Tumor	P5	E09
MGH42	MGH42-P5-E12	Tumor	P5	E12
MGH42	MGH42-P5-F01	Tumor	P5	F01
MGH42	MGH42-P5-F02	Tumor	P5	F02
MGH42	MGH42-P5-F03	Tumor	P5	F03
MGH42	MGH42-P5-F04	Tumor	P5	F04
MGH42	MGH42-P5-G01	Tumor	P5	G01
MGH42	MGH42-P5-G04	Tumor	P5	G04
MGH42	MGH42-P5-G05	Tumor	P5	G05
MGH42	MGH42-P5-H01	Tumor	P5	H01
MGH42	MGH42-P5-H03	Tumor	P5	H03
MGH42	MGH42-P5-H04	Tumor	P5	H04
MGH42	MGH42-P5-H07	Tumor	P5	H07
MGH42	MGH42-P5-H08	Tumor	P5	H08
MGH42	MGH42-P5-H09	Tumor	P5	H09
MGH42	MGH42-P5-H11	Tumor	P5	H11
MGH42	MGH42-P6-A01	Tumor	P6	A01
MGH42	MGH42-P6-A04	Tumor	P6	A04
MGH42	MGH42-P6-A06	Tumor	P6	A06
MGH42	MGH42-P6-A11	Tumor	P6	A11
MGH42	MGH42-P6-B03	Tumor	P6	B03
MGH42	MGH42-P6-B04	Tumor	P6	B04
MGH42	MGH42-P6-B05	Tumor	P6	B05
MGH42	MGH42-P6-B06	Tumor	P6	B06
MGH42	MGH42-P6-B07	Tumor	P6	B07
MGH42	MGH42-P6-B08	Tumor	P6	B08
MGH42	MGH42-P6-B09	Tumor	P6	B09
MGH42	MGH42-P6-C05	Tumor	P6	C05
MGH42	MGH42-P6-C08	Tumor	P6	C08
MGH42	MGH42-P6-C09	Tumor	P6	C09
MGH42	MGH42-P6-D11	Tumor	P6	D11
MGH42	MGH42-P6-E02	Tumor	P6	E02
MGH42	MGH42-P6-E09	Tumor	P6	E09
MGH42	MGH42-P6-F08	Tumor	P6	F08
MGH42	MGH42-P6-F10	Tumor	P6	F10
MGH42	MGH42-P6-G06	Tumor	P6	G06
MGH42	MGH42-P6-G07	Tumor	P6	G07
MGH42	MGH42-P6-G09	Tumor	P6	G09
MGH42	MGH42-P6-H03	Tumor	P6	H03
MGH42	MGH42-P6-H09	Tumor	P6	H09
MGH42	MGH42-P6-H12	Tumor	P6	H12
MGH42	MGH42-P7-A01	nonTumor	P7	A01
MGH42	MGH42-P7-A02	nonTumor	P7	A02
MGH42	MGH42-P7-A04	nonTumor	P7	A04
MGH42	MGH42-P7-A11	nonTumor	P7	A11
MGH42	MGH42-P7-A12	nonTumor	P7	A12
MGH42	MGH42-P7-B02	nonTumor	P7	B02
MGH42	MGH42-P7-B05	nonTumor	P7	B05
MGH42	MGH42-P7-B09	nonTumor	P7	B09
MGH42	MGH42-P7-C01	nonTumor	P7	C01
MGH42	MGH42-P7-C02	nonTumor	P7	C02
MGH42	MGH42-P7-C03	nonTumor	P7	C03
MGH42	MGH42-P7-C06	nonTumor	P7	C06
MGH42	MGH42-P7-D03	nonTumor	P7	D03
MGH42	MGH42-P7-D06	nonTumor	P7	D06
MGH42	MGH42-P7-D07	nonTumor	P7	D07
MGH42	MGH42-P7-D10	nonTumor	P7	D10
MGH42	MGH42-P7-D11	nonTumor	P7	D11
MGH42	MGH42-P7-E04	nonTumor	P7	E04
MGH42	MGH42-P7-E05	nonTumor	P7	E05
MGH42	MGH42-P7-E06	nonTumor	P7	E06
MGH42	MGH42-P7-E07	nonTumor	P7	E07
MGH42	MGH42-P7-E08	nonTumor	P7	E08
MGH42	MGH42-P7-E10	nonTumor	P7	E10
MGH42	MGH42-P7-F01	nonTumor	P7	F01
MGH42	MGH42-P7-F04	nonTumor	P7	F04
MGH42	MGH42-P7-F05	nonTumor	P7	F05
MGH42	MGH42-P7-F10	nonTumor	P7	F10
MGH42	MGH42-P7-F11	nonTumor	P7	F11
MGH42	MGH42-P7-G01	nonTumor	P7	G01
MGH42	MGH42-P7-G02	nonTumor	P7	G02
MGH42	MGH42-P7-G05	nonTumor	P7	G05
MGH42	MGH42-P7-G07	nonTumor	P7	G07
MGH42	MGH42-P7-H02	nonTumor	P7	H02
MGH42	MGH42-P7-H04	nonTumor	P7	H04
MGH42	MGH42-P7-H05	nonTumor	P7	H05
MGH42	MGH42-P7-H07	nonTumor	P7	H07
MGH42	MGH42-P7-H08	nonTumor	P7	H08
MGH42	MGH42-P7-H10	nonTumor	P7	H10
MGH42	MGH42-P7-H11	nonTumor	P7	H11
MGH42	MGH42-P8-A02	nonTumor	P8	A02
MGH42	MGH42-P8-A04	nonTumor	P8	A04
MGH42	MGH42-P8-A05	nonTumor	P8	A05
MGH42	MGH42-P8-A07	nonTumor	P8	A07
MGH42	MGH42-P8-A09	nonTumor	P8	A09
MGH42	MGH42-P8-A10	nonTumor	P8	A10
MGH42	MGH42-P8-A11	nonTumor	P8	A11
MGH42	MGH42-P8-A12	nonTumor	P8	A12
MGH42	MGH42-P8-B05	nonTumor	P8	B05
MGH42	MGH42-P8-B07	nonTumor	P8	B07
