patient	plate	sample	Tumor	celltype1	fq1_url	fq2_url
Melanoma_74	Cy74_CD45	Cy74_CD45_C11_S419_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-C11_S419_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-C11_S419_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_E10_S154_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-E10_S154_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-E10_S154_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_H07_S955_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-H07_S955_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-H07_S955_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_F01_S1021_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-F01_S1021_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-F01_S1021_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_D09_S333_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-D09_S333_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-D09_S333_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_E12_S540_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-E12_S540_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-E12_S540_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_D07_S235_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-D07_S235_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-D07_S235_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_D07_S715_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D07_S715_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D07_S715_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_E08_S728_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-E08_S728_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-E08_S728_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_B07_S499_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-B07_S499_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-B07_S499_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_G02_S554_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-G02_S554_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-G02_S554_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_E03_S531_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-E03_S531_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-E03_S531_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_H03_S471_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-H03_S471_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-H03_S471_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_B11_S119_comb	Unknown	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-B11_S119_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-B11_S119_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_H09_S957_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-H09_S957_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-H09_S957_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_E02_S722_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-E02_S722_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-E02_S722_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_D03_S711_comb	nonTumor	Bcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D03_S711_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D03_S711_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_B11_S887_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-B11_S887_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-B11_S887_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_B07_S115_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-B07_S115_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-B07_S115_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_E04_S148_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-E04_S148_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-E04_S148_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_A06_S966_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-A06_S966_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-A06_S966_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_D11_S911_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-D11_S911_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-D11_S911_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_A09_S201_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-A09_S201_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-A09_S201_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_B12_S216_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-B12_S216_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-B12_S216_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_B08_S500_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-B08_S500_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-B08_S500_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_G10_S370_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-G10_S370_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-G10_S370_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_E11_S539_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-E11_S539_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-E11_S539_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_C09_S321_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-C09_S321_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-C09_S321_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_D11_S1007_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-D11_S1007_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-D11_S1007_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_G07_S943_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-G07_S943_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-G07_S943_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_F12_S744_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-F12_S744_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-F12_S744_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_G05_S941_comb	nonTumor	CAF	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-G05_S941_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-G05_S941_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_C07_S703_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-C07_S703_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-C07_S703_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_G08_S560_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-G08_S560_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-G08_S560_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_H07_S763_comb	nonTumor	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-H07_S763_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-H07_S763_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_F07_S451_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-F07_S451_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-F07_S451_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_F06_S546_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-F06_S546_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-F06_S546_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_B04_S208_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-B04_S208_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-B04_S208_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_D09_S141_comb	Unknown	Unknown	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-D09_S141_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-D09_S141_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_C02_S410_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-C02_S410_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-C02_S410_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_D01_S133_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-D01_S133_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-D01_S133_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_G01_S265_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-G01_S265_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-G01_S265_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_D02_S230_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-D02_S230_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-D02_S230_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_D10_S142_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-D10_S142_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-D10_S142_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_A10_S970_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-A10_S970_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-A10_S970_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_C05_S317_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-C05_S317_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-C05_S317_comb_R2_001.fastq.gz
Melanoma_72	Cy72_CD45	Cy72_CD45_D12_S720_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D12_S720_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy72-CD45-D12_S720_comb_R2_001.fastq.gz
Melanoma_80	Cy80_II_CD45	Cy80_II_CD45_B01_S877_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-B01_S877_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy80-II-CD45-B01_S877_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_F11_S1031_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-F11_S1031_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-F11_S1031_comb_R2_001.fastq.gz
Melanoma_81	Cy81_Bulk_CD45	Cy81_Bulk_CD45_G12_S180_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-G12_S180_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-Bulk-CD45-G12_S180_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_F01_S253_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-F01_S253_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-F01_S253_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_A08_S392_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-A08_S392_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-A08_S392_comb_R2_001.fastq.gz
Melanoma_71	Cy71_CD45	Cy71_CD45_G06_S558_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-G06_S558_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy71-CD45-G06_S558_comb_R2_001.fastq.gz
Melanoma_74	Cy74_CD45	Cy74_CD45_A04_S388_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-A04_S388_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy74-CD45-A04_S388_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_B01_S973_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-B01_S973_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-B01_S973_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_H12_S1056_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-H12_S1056_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-H12_S1056_comb_R2_001.fastq.gz
Melanoma_81	Cy81_FNA_CD45	Cy81_FNA_CD45_F02_S350_comb	Tumor	Tumor	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-F02_S350_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/Cy81-FNA-CD45-F02_S350_comb_R2_001.fastq.gz
Melanoma_58	CY58_1_CD45	CY58_1_CD45_F05_S1025_comb	nonTumor	Tcell	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-F05_S1025_comb_R1_001.fastq.gz	gs://fc-4d51a505-d5cb-46e6-b515-f79cb2cbb2b0/CY58-1-CD45-F05_S1025_comb_R2_001.fastq.gz
