Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,source_name,disease,disease_state,Cell_Line,cell_morphology,tissue
SRR8096037,RNA-Seq,300,240877500,PRJNA382695,SAMN10280214,119831707,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4922887,GSM3443131,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,240,114,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS3968209,GSM3443131,SRP103839,CRC,Carcinoma,,,,
SRR5824390,RNA-Seq,300,1751054400,PRJNA382695,SAMN07335245,714902498,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002194,GSM2696954,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1751,681,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353124,GSM2696954,SRP103839,CRC,,Carcinoma,,,
SRR5824391,RNA-Seq,300,922312200,PRJNA382695,SAMN07335244,375856359,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002195,GSM2696955,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,922,358,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353125,GSM2696955,SRP103839,CRC,,Carcinoma,,,
SRR5824393,RNA-Seq,300,1766165400,PRJNA382695,SAMN07335242,727712417,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002197,GSM2696957,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1766,694,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353128,GSM2696957,SRP103839,CRC,,Carcinoma,,,
SRR5824394,RNA-Seq,300,604408500,PRJNA382695,SAMN07335241,246404802,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002198,GSM2696958,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,604,234,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353130,GSM2696958,SRP103839,CRC,,Carcinoma,,,
SRR5824395,RNA-Seq,300,152026200,PRJNA382695,SAMN07335240,61056111,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3002199,GSM2696959,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,152,58,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353129,GSM2696959,SRP103839,CRC,,Carcinoma,,,
SRR5824396,RNA-Seq,300,763831800,PRJNA382695,SAMN07335239,308309356,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3002200,GSM2696960,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,763,294,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353131,GSM2696960,SRP103839,CRC,,Carcinoma,,,
SRR5824397,RNA-Seq,300,970321200,PRJNA382695,SAMN07335238,395994081,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3002201,GSM2696961,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,970,377,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353132,GSM2696961,SRP103839,CRC,,Carcinoma,,,
SRR5824398,RNA-Seq,300,1974528000,PRJNA382695,SAMN07335237,806802164,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3002202,GSM2696962,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1974,769,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353133,GSM2696962,SRP103839,CRC,,Carcinoma,,,
SRR5824399,RNA-Seq,300,1402240200,PRJNA382695,SAMN07335236,606171459,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002203,GSM2696963,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1402,578,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353134,GSM2696963,SRP103839,CRC,,Carcinoma,,,
SRR5824400,RNA-Seq,300,2791445700,PRJNA382695,SAMN07335235,1177286151,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002204,GSM2696964,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,2791,1122,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353135,GSM2696964,SRP103839,CRC,,Carcinoma,,,
SRR5824401,RNA-Seq,300,1170213300,PRJNA382695,SAMN07335234,497871815,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002205,GSM2696965,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1170,474,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353136,GSM2696965,SRP103839,CRC,,Carcinoma,,,
SRR5824402,RNA-Seq,300,220683300,PRJNA382695,SAMN07335233,89496390,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002206,GSM2696966,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,220,85,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353138,GSM2696966,SRP103839,CRC,,Carcinoma,,,
SRR5824403,RNA-Seq,300,713983500,PRJNA382695,SAMN07335232,287359478,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002207,GSM2696967,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,713,274,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353137,GSM2696967,SRP103839,CRC,,Carcinoma,,,
SRR5824404,RNA-Seq,300,1019449500,PRJNA382695,SAMN07335231,415413476,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3002208,GSM2696968,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1019,396,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353140,GSM2696968,SRP103839,CRC,,Carcinoma,,,
SRR5824405,RNA-Seq,300,900690000,PRJNA382695,SAMN07335230,374355873,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002209,GSM2696969,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,900,357,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353139,GSM2696969,SRP103839,CRC,,Carcinoma,,,
SRR5824406,RNA-Seq,300,969347700,PRJNA382695,SAMN07335229,396718705,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3002210,GSM2696970,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,969,378,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353141,GSM2696970,SRP103839,CRC,,Carcinoma,,,
SRR5824407,RNA-Seq,300,793593900,PRJNA382695,SAMN07335228,324605588,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002211,GSM2696971,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,793,309,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353142,GSM2696971,SRP103839,CRC,,Carcinoma,,,
SRR5824408,RNA-Seq,300,1605017100,PRJNA382695,SAMN07335227,656334083,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002212,GSM2696972,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1605,625,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353143,GSM2696972,SRP103839,CRC,,Carcinoma,,,
SRR5824409,RNA-Seq,300,430374300,PRJNA382695,SAMN07335226,176522200,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002213,GSM2696973,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,430,168,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353144,GSM2696973,SRP103839,CRC,,Carcinoma,,,
SRR5824410,RNA-Seq,300,629702400,PRJNA382695,SAMN07335225,255947275,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002214,GSM2696974,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,629,244,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353145,GSM2696974,SRP103839,CRC,,Carcinoma,,,
SRR5824411,RNA-Seq,300,2138021700,PRJNA382695,SAMN07335224,826222967,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002215,GSM2696975,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,2138,787,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353146,GSM2696975,SRP103839,CRC,,Carcinoma,,,
SRR5824412,RNA-Seq,300,3126474300,PRJNA382695,SAMN07335223,1201077133,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3002216,GSM2696976,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,3126,1145,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353148,GSM2696976,SRP103839,CRC,,Carcinoma,,,
SRR5824413,RNA-Seq,300,2867238000,PRJNA382695,SAMN07335324,1168942731,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002217,GSM2696977,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,2867,1114,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353147,GSM2696977,SRP103839,CRC,,Carcinoma,,,
SRR5824414,RNA-Seq,300,3234080400,PRJNA382695,SAMN07335323,1231369703,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002218,GSM2696978,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,3234,1174,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353149,GSM2696978,SRP103839,CRC,,Carcinoma,,,
SRR5824415,RNA-Seq,300,3829128600,PRJNA382695,SAMN07335322,1481374958,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3002219,GSM2696979,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,3829,1412,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353151,GSM2696979,SRP103839,CRC,,Carcinoma,,,
SRR5824416,RNA-Seq,300,3436377900,PRJNA382695,SAMN07335321,1324037800,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002220,GSM2696980,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,3436,1262,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353150,GSM2696980,SRP103839,CRC,,Carcinoma,,,
SRR5824417,RNA-Seq,300,2012989800,PRJNA382695,SAMN07335320,804047539,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002221,GSM2696981,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,2012,766,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353153,GSM2696981,SRP103839,CRC,,Carcinoma,,,
SRR5824418,RNA-Seq,300,552221100,PRJNA382695,SAMN07335319,211787020,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002222,GSM2696982,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,552,201,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353152,GSM2696982,SRP103839,CRC,,Carcinoma,,,
SRR5824419,RNA-Seq,300,998671200,PRJNA382695,SAMN07335318,389908637,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002223,GSM2696983,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,998,371,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353154,GSM2696983,SRP103839,CRC,,Carcinoma,,,
SRR5824420,RNA-Seq,300,745621800,PRJNA382695,SAMN07335172,296381294,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002224,GSM2696984,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,745,282,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353155,GSM2696984,SRP103839,CRC,,Carcinoma,,,
SRR5824421,RNA-Seq,300,408507900,PRJNA382695,SAMN07335274,156690470,GEO,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3002225,GSM2696985,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,408,149,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353156,GSM2696985,SRP103839,CRC,,Carcinoma,,,
SRR5824422,RNA-Seq,300,1673389500,PRJNA382695,SAMN07335273,643196486,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002226,GSM2696986,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1673,613,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353157,GSM2696986,SRP103839,CRC,,Carcinoma,,,
SRR5824423,RNA-Seq,300,2118512100,PRJNA382695,SAMN07335272,920080466,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002227,GSM2696987,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,2118,877,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353158,GSM2696987,SRP103839,CRC,,Carcinoma,,,
SRR5824424,RNA-Seq,300,1678784700,PRJNA382695,SAMN07335271,796665730,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002228,GSM2696988,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1678,759,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353159,GSM2696988,SRP103839,CRC,,Carcinoma,,,
SRR5824425,RNA-Seq,300,601273200,PRJNA382695,SAMN07335270,291150250,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX3002229,GSM2696989,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,601,277,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353161,GSM2696989,SRP103839,CRC,,Carcinoma,,,
SRR5824427,RNA-Seq,300,952953000,PRJNA382695,SAMN07335268,403856394,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002231,GSM2696991,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,952,385,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353163,GSM2696991,SRP103839,CRC,,Carcinoma,,,
SRR5824428,RNA-Seq,300,1117045800,PRJNA382695,SAMN07335267,445690430,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002232,GSM2696992,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1117,425,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353162,GSM2696992,SRP103839,CRC,,Carcinoma,,,
SRR5824429,RNA-Seq,300,874563000,PRJNA382695,SAMN07335266,349659959,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002233,GSM2696993,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,874,333,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353164,GSM2696993,SRP103839,CRC,,Carcinoma,,,
SRR5824430,RNA-Seq,300,8564591400,PRJNA382695,SAMN07335265,3466273256,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002234,GSM2696994,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,8564,3305,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353165,GSM2696994,SRP103839,CRC,,Carcinoma,,,
SRR5824431,RNA-Seq,300,2217252300,PRJNA382695,SAMN07335264,947037100,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX3002235,GSM2696995,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,2217,903,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353166,GSM2696995,SRP103839,CRC,,Carcinoma,,,
SRR5824432,RNA-Seq,300,573431400,PRJNA382695,SAMN07335263,245968214,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002236,GSM2696996,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,573,234,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353167,GSM2696996,SRP103839,CRC,,Carcinoma,,,
SRR5824433,RNA-Seq,300,501130500,PRJNA382695,SAMN07335262,218486774,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002237,GSM2696997,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,501,208,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353168,GSM2696997,SRP103839,CRC,,Carcinoma,,,
SRR5824434,RNA-Seq,300,1168252800,PRJNA382695,SAMN07335261,502111556,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002238,GSM2696998,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1168,478,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353169,GSM2696998,SRP103839,CRC,,Carcinoma,,,
SRR5824435,RNA-Seq,300,814092900,PRJNA382695,SAMN07335260,352585735,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002239,GSM2696999,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,814,336,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353170,GSM2696999,SRP103839,CRC,,Carcinoma,,,
SRR5824436,RNA-Seq,300,893742300,PRJNA382695,SAMN07335259,388651420,GEO,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX3002240,GSM2697000,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,893,370,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353171,GSM2697000,SRP103839,CRC,,Carcinoma,,,
SRR5824437,RNA-Seq,300,407927400,PRJNA382695,SAMN07335258,155353052,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002241,GSM2697001,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,407,148,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353172,GSM2697001,SRP103839,CRC,,Carcinoma,,,
SRR5824438,RNA-Seq,300,346203300,PRJNA382695,SAMN07335257,134219039,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3002242,GSM2697002,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,346,128,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353173,GSM2697002,SRP103839,CRC,,Carcinoma,,,
SRR5824439,RNA-Seq,300,1477855500,PRJNA382695,SAMN07335256,566103732,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX3002243,GSM2697003,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,1477,539,Homo sapiens,ILLUMINA,2018-11-30T00:00:00Z,SRS2353174,GSM2697003,SRP103839,CRC,,Carcinoma,,,
