cell	celltype1	GSM	Run	sample	depletion_batch	patient	Tumor	QC_status	plate	well
PT089_P3_E05_S341	Tumor	GSM3326245	SRR7666419	B3	depleted_yes	PT089	Tumor	Passed	P3	E05
PT089_P3_E06_S342	Tumor	GSM3326246	SRR7666420	B3	depleted_yes	PT089	Tumor	Passed	P3	E06
PT089_P3_E07_S343	Tumor	GSM3326247	SRR7666421	B3	depleted_yes	PT089	Tumor	Passed	P3	E07
PT089_P3_E08_S344	Tumor	GSM3326248	SRR7666422	B3	depleted_yes	PT089	Tumor	Passed	P3	E08
PT089_P3_E09_S345	Tumor	GSM3326249	SRR7666423	B3	depleted_yes	PT089	Tumor	Passed	P3	E09
PT089_P3_E10_S346	Tumor	GSM3326250	SRR7666424	B3	depleted_yes	PT089	Tumor	Passed	P3	E10
PT089_P3_E11_S347	Tumor	GSM3326251	SRR7666425	B3	depleted_yes	PT089	Tumor	Passed	P3	E11
PT089_P3_F01_S349	Tumor	GSM3326252	SRR7666426	B3	depleted_yes	PT089	Tumor	Passed	P3	F01
PT089_P3_F02_S350	Tumor	GSM3326253	SRR7666427	B3	depleted_yes	PT089	Tumor	Passed	P3	F02
PT089_P3_F03_S351	Tumor	GSM3326254	SRR7666428	B3	depleted_yes	PT089	Tumor	Passed	P3	F03
PT089_P3_F05_S353	Tumor	GSM3326255	SRR7666429	B3	depleted_yes	PT089	Tumor	Passed	P3	F05
PT089_P3_F06_S354	Tumor	GSM3326256	SRR7666430	B3	depleted_yes	PT089	Tumor	Passed	P3	F06
PT089_P3_F07_S355	Tumor	GSM3326257	SRR7666431	B3	depleted_yes	PT089	Tumor	Passed	P3	F07
PT089_P3_F08_S356	Tumor	GSM3326258	SRR7666432	B3	depleted_yes	PT089	Tumor	Passed	P3	F08
PT089_P3_F09_S357	Tumor	GSM3326259	SRR7666433	B3	depleted_yes	PT089	Tumor	Passed	P3	F09
PT089_P3_F10_S358	Tumor	GSM3326260	SRR7666434	B3	depleted_yes	PT089	Tumor	Passed	P3	F10
PT089_P3_F11_S359	Tumor	GSM3326261	SRR7666435	B3	depleted_yes	PT089	Tumor	Passed	P3	F11
PT089_P3_F12_S360	Tumor	GSM3326262	SRR7666436	B3	depleted_yes	PT089	Tumor	Passed	P3	F12
PT089_P3_G02_S362	Tumor	GSM3326263	SRR7666437	B3	depleted_yes	PT089	Tumor	Passed	P3	G02
PT089_P3_G03_S363	Tumor	GSM3326264	SRR7666438	B3	depleted_yes	PT089	Tumor	Passed	P3	G03
PT089_P3_G04_S364	Tumor	GSM3326265	SRR7666439	B3	depleted_yes	PT089	Tumor	Passed	P3	G04
PT089_P3_G05_S365	Tumor	GSM3326266	SRR7666440	B3	depleted_yes	PT089	Tumor	Passed	P3	G05
PT089_P3_G06_S366	Tumor	GSM3326267	SRR7666441	B3	depleted_yes	PT089	Tumor	Passed	P3	G06
PT089_P3_G07_S367	Tumor	GSM3326268	SRR7666442	B3	depleted_yes	PT089	Tumor	Passed	P3	G07
PT089_P3_G08_S368	Tumor	GSM3326269	SRR7666443	B3	depleted_yes	PT089	Tumor	Passed	P3	G08
PT089_P3_G09_S369	Tumor	GSM3326270	SRR7666444	B3	depleted_yes	PT089	Tumor	Passed	P3	G09
PT089_P3_G10_S370	Tumor	GSM3326271	SRR7666445	B3	depleted_yes	PT089	Tumor	Passed	P3	G10
PT089_P3_G12_S372	Tumor	GSM3326272	SRR7666446	B3	depleted_yes	PT089	Tumor	Passed	P3	G12
PT089_P3_H01_S373	Tumor	GSM3326273	SRR7666447	B3	depleted_yes	PT089	Tumor	Passed	P3	H01
PT089_P3_H02_S374	Tumor	GSM3326274	SRR7666448	B3	depleted_yes	PT089	Tumor	Passed	P3	H02
PT089_P3_H03_S375	Tumor	GSM3326275	SRR7666449	B3	depleted_yes	PT089	Tumor	Passed	P3	H03
PT089_P3_H04_S376	Tumor	GSM3326276	SRR7666450	B3	depleted_yes	PT089	Tumor	Passed	P3	H04
PT089_P3_H05_S377	Tumor	GSM3326277	SRR7666451	B3	depleted_yes	PT089	Tumor	Passed	P3	H05
PT089_P3_H09_S381	Tumor	GSM3326278	SRR7666452	B3	depleted_yes	PT089	Tumor	Passed	P3	H09
PT089_P3_H10_S382	Tumor	GSM3326279	SRR7666453	B3	depleted_yes	PT089	Tumor	Passed	P3	H10
PT089_P3_H11_S383	Tumor	GSM3326280	SRR7666454	B3	depleted_yes	PT089	Tumor	Passed	P3	H11
PT089_P3_H12_S384	Tumor	GSM3326281	SRR7666455	B3	depleted_yes	PT089	Tumor	Passed	P3	H12
PT089_P7_A01_S1	Stroma	GSM3326282	SRR7666456	B6	depleted_yes	PT089	nonTumor	Passed	P7	A01
PT089_P7_A02_S2	Tumor	GSM3326283	SRR7666457	B6	depleted_yes	PT089	Tumor	Passed	P7	A02
PT089_P7_A03_S3	Tumor	GSM3326284	SRR7666458	B6	depleted_yes	PT089	Tumor	Passed	P7	A03
PT089_P7_A04_S4	Tumor	GSM3326285	SRR7666459	B6	depleted_yes	PT089	Tumor	Passed	P7	A04
PT089_P7_A05_S5	Stroma	GSM3326286	SRR7666460	B6	depleted_yes	PT089	nonTumor	Passed	P7	A05
PT089_P7_A06_S6	Tumor	GSM3326287	SRR7666461	B6	depleted_yes	PT089	Tumor	Passed	P7	A06
PT089_P7_A07_S7	Tumor	GSM3326288	SRR7666462	B6	depleted_yes	PT089	Tumor	Passed	P7	A07
PT089_P7_A08_S8	Tumor	GSM3326289	SRR7666463	B6	depleted_yes	PT089	Tumor	Passed	P7	A08
PT089_P7_A09_S9	Tumor	GSM3326290	SRR7666464	B6	depleted_yes	PT089	Tumor	Passed	P7	A09
PT089_P7_A10_S10	Tumor	GSM3326291	SRR7666465	B6	depleted_yes	PT089	Tumor	Passed	P7	A10
PT089_P7_A11_S11	Tumor	GSM3326292	SRR7666466	B6	depleted_yes	PT089	Tumor	Passed	P7	A11
PT089_P7_A12_S12	Tumor	GSM3326293	SRR7666467	B6	depleted_yes	PT089	Tumor	Passed	P7	A12
PT089_P7_B01_S13	Tumor	GSM3326294	SRR7666468	B6	depleted_yes	PT089	Tumor	Passed	P7	B01
PT089_P7_B02_S14	Stroma	GSM3326295	SRR7666469	B6	depleted_yes	PT089	nonTumor	Passed	P7	B02
PT089_P7_B03_S15	Tumor	GSM3326296	SRR7666470	B6	depleted_yes	PT089	Tumor	Passed	P7	B03
PT089_P7_B04_S16	Tumor	GSM3326297	SRR7666471	B6	depleted_yes	PT089	Tumor	Passed	P7	B04
PT089_P7_B05_S17	Tumor	GSM3326298	SRR7666472	B6	depleted_yes	PT089	Tumor	Passed	P7	B05
PT089_P7_B06_S18	Tumor	GSM3326299	SRR7666473	B6	depleted_yes	PT089	Tumor	Passed	P7	B06
PT089_P7_B07_S19	Tumor	GSM3326300	SRR7666474	B6	depleted_yes	PT089	Tumor	Passed	P7	B07
PT089_P7_B08_S20	Tumor	GSM3326301	SRR7666475	B6	depleted_yes	PT089	Tumor	Passed	P7	B08
PT089_P7_B09_S21	Tumor	GSM3326302	SRR7666476	B6	depleted_yes	PT089	Tumor	Passed	P7	B09
PT089_P7_B10_S22	Tumor	GSM3326303	SRR7666477	B6	depleted_yes	PT089	Tumor	Passed	P7	B10
PT089_P7_B11_S23	Tumor	GSM3326304	SRR7666478	B6	depleted_yes	PT089	Tumor	Passed	P7	B11
PT089_P7_B12_S24	Tumor	GSM3326305	SRR7666479	B6	depleted_yes	PT089	Tumor	Passed	P7	B12
PT089_P7_C01_S25	Tumor	GSM3326306	SRR7666480	B6	depleted_yes	PT089	Tumor	Passed	P7	C01
PT089_P7_C02_S26	Tumor	GSM3326307	SRR7666481	B6	depleted_yes	PT089	Tumor	Passed	P7	C02
PT089_P7_C03_S27	Tumor	GSM3326308	SRR7666482	B6	depleted_yes	PT089	Tumor	Passed	P7	C03
PT089_P7_C04_S28	Tumor	GSM3326309	SRR7666483	B6	depleted_yes	PT089	Tumor	Passed	P7	C04
PT089_P7_C05_S29	Tumor	GSM3326310	SRR7666484	B6	depleted_yes	PT089	Tumor	Passed	P7	C05
PT089_P7_C06_S30	Tumor	GSM3326311	SRR7666485	B6	depleted_yes	PT089	Tumor	Passed	P7	C06
PT089_P7_C07_S31	Stroma	GSM3326312	SRR7666486	B6	depleted_yes	PT089	nonTumor	Passed	P7	C07
PT089_P7_C08_S32	Tumor	GSM3326313	SRR7666487	B6	depleted_yes	PT089	Tumor	Passed	P7	C08
PT089_P7_C09_S33	Tumor	GSM3326314	SRR7666488	B6	depleted_yes	PT089	Tumor	Passed	P7	C09
PT089_P7_C10_S34	Tumor	GSM3326315	SRR7666489	B6	depleted_yes	PT089	Tumor	Passed	P7	C10
PT089_P7_C11_S35	Tumor	GSM3326316	SRR7666490	B6	depleted_yes	PT089	Tumor	Passed	P7	C11
PT089_P7_C12_S36	Stroma	GSM3326317	SRR7666491	B6	depleted_yes	PT089	nonTumor	Passed	P7	C12
PT089_P7_D02_S38	Tumor	GSM3326319	SRR7666493	B6	depleted_yes	PT089	Tumor	Passed	P7	D02
PT089_P7_D03_S39	Tumor	GSM3326320	SRR7666494	B6	depleted_yes	PT089	Tumor	Passed	P7	D03
PT089_P7_D05_S41	Tumor	GSM3326321	SRR7666495	B6	depleted_yes	PT089	Tumor	Passed	P7	D05
PT089_P7_D06_S42	Tumor	GSM3326322	SRR7666496	B6	depleted_yes	PT089	Tumor	Passed	P7	D06
PT089_P7_D07_S43	Tumor	GSM3326323	SRR7666497	B6	depleted_yes	PT089	Tumor	Passed	P7	D07
PT089_P7_D08_S44	Tumor	GSM3326324	SRR7666498	B6	depleted_yes	PT089	Tumor	Passed	P7	D08
PT089_P7_D09_S45	Stroma	GSM3326325	SRR7666499	B6	depleted_yes	PT089	nonTumor	Passed	P7	D09
PT089_P7_D10_S46	Tumor	GSM3326326	SRR7666500	B6	depleted_yes	PT089	Tumor	Passed	P7	D10
PT089_P7_D11_S47	Tumor	GSM3326327	SRR7666501	B6	depleted_yes	PT089	Tumor	Passed	P7	D11
PT089_P7_D12_S48	Stroma	GSM3326328	SRR7666502	B6	depleted_yes	PT089	nonTumor	Passed	P7	D12
PT089_P7_E01_S49	Tumor	GSM3326329	SRR7666503	B6	depleted_yes	PT089	Tumor	Passed	P7	E01
PT089_P7_E02_S50	Tumor	GSM3326330	SRR7666504	B6	depleted_yes	PT089	Tumor	Passed	P7	E02
PT089_P7_E03_S51	Tumor	GSM3326331	SRR7666505	B6	depleted_yes	PT089	Tumor	Passed	P7	E03
PT089_P7_E04_S52	Tumor	GSM3326332	SRR7666506	B6	depleted_yes	PT089	Tumor	Passed	P7	E04
PT089_P7_E05_S53	Tumor	GSM3326333	SRR7666507	B6	depleted_yes	PT089	Tumor	Passed	P7	E05
PT089_P7_E06_S54	Tumor	GSM3326334	SRR7666508	B6	depleted_yes	PT089	Tumor	Passed	P7	E06
PT089_P7_E07_S55	Tumor	GSM3326335	SRR7666509	B6	depleted_yes	PT089	Tumor	Passed	P7	E07
PT089_P7_E08_S56	Tumor	GSM3326336	SRR7666510	B6	depleted_yes	PT089	Tumor	Passed	P7	E08
PT089_P7_E09_S57	Stroma	GSM3326337	SRR7666511	B6	depleted_yes	PT089	nonTumor	Passed	P7	E09
PT089_P7_E10_S58	Tumor	GSM3326338	SRR7666512	B6	depleted_yes	PT089	Tumor	Passed	P7	E10
PT089_P7_E11_S59	Tumor	GSM3326339	SRR7666513	B6	depleted_yes	PT089	Tumor	Passed	P7	E11
PT089_P7_E12_S60	Stroma	GSM3326340	SRR7666514	B6	depleted_yes	PT089	nonTumor	Passed	P7	E12
PT089_P7_F02_S62	Tumor	GSM3326341	SRR7666515	B6	depleted_yes	PT089	Tumor	Passed	P7	F02
PT089_P7_F03_S63	Tumor	GSM3326342	SRR7666516	B6	depleted_yes	PT089	Tumor	Passed	P7	F03
PT089_P7_F04_S64	Tumor	GSM3326343	SRR7666517	B6	depleted_yes	PT089	Tumor	Passed	P7	F04
PT089_P7_F05_S65	Tumor	GSM3326344	SRR7666518	B6	depleted_yes	PT089	Tumor	Passed	P7	F05
PT089_P7_F06_S66	Tumor	GSM3326345	SRR7666519	B6	depleted_yes	PT089	Tumor	Passed	P7	F06
PT089_P7_F07_S67	Stroma	GSM3326346	SRR7666520	B6	depleted_yes	PT089	nonTumor	Passed	P7	F07
PT089_P7_F08_S68	Tumor	GSM3326347	SRR7666521	B6	depleted_yes	PT089	Tumor	Passed	P7	F08
PT089_P7_F09_S69	Tumor	GSM3326348	SRR7666522	B6	depleted_yes	PT089	Tumor	Passed	P7	F09
PT089_P7_F10_S70	Tumor	GSM3326349	SRR7666523	B6	depleted_yes	PT089	Tumor	Passed	P7	F10
PT089_P7_F11_S71	Tumor	GSM3326350	SRR7666524	B6	depleted_yes	PT089	Tumor	Passed	P7	F11
PT089_P7_F12_S72	Tumor	GSM3326351	SRR7666525	B6	depleted_yes	PT089	Tumor	Passed	P7	F12
PT089_P7_G01_S73	Tumor	GSM3326352	SRR7666526	B6	depleted_yes	PT089	Tumor	Passed	P7	G01
PT089_P7_G02_S74	Tumor	GSM3326353	SRR7666527	B6	depleted_yes	PT089	Tumor	Passed	P7	G02
PT089_P7_G03_S75	Tumor	GSM3326354	SRR7666528	B6	depleted_yes	PT089	Tumor	Passed	P7	G03
PT089_P7_G04_S76	Stroma	GSM3326355	SRR7666529	B6	depleted_yes	PT089	nonTumor	Passed	P7	G04
PT089_P7_G05_S77	Tumor	GSM3326356	SRR7666530	B6	depleted_yes	PT089	Tumor	Passed	P7	G05
PT089_P7_G06_S78	Stroma	GSM3326357	SRR7666531	B6	depleted_yes	PT089	nonTumor	Passed	P7	G06
PT089_P7_G07_S79	Stroma	GSM3326358	SRR7666532	B6	depleted_yes	PT089	nonTumor	Passed	P7	G07
PT089_P7_G08_S80	Stroma	GSM3326359	SRR7666533	B6	depleted_yes	PT089	nonTumor	Passed	P7	G08
PT089_P7_G09_S81	Tumor	GSM3326360	SRR7666534	B6	depleted_yes	PT089	Tumor	Passed	P7	G09
PT089_P7_G10_S82	Tumor	GSM3326361	SRR7666535	B6	depleted_yes	PT089	Tumor	Passed	P7	G10
PT089_P7_G11_S83	Tumor	GSM3326362	SRR7666536	B6	depleted_yes	PT089	Tumor	Passed	P7	G11
PT089_P7_G12_S84	Stroma	GSM3326363	SRR7666537	B6	depleted_yes	PT089	nonTumor	Passed	P7	G12
PT089_P9_A01_S97	Tumor	GSM3326364	SRR7666538	B6	depleted_yes	PT089	Tumor	Passed	P9	A01
PT089_P9_A02_S98	Tumor	GSM3326365	SRR7666539	B6	depleted_yes	PT089	Tumor	Passed	P9	A02
PT089_P9_A03_S99	Tumor	GSM3326366	SRR7666540	B6	depleted_yes	PT089	Tumor	Passed	P9	A03
PT089_P9_A04_S100	Tumor	GSM3326367	SRR7666541	B6	depleted_yes	PT089	Tumor	Passed	P9	A04
PT089_P9_A05_S101	Tumor	GSM3326368	SRR7666542	B6	depleted_yes	PT089	Tumor	Passed	P9	A05
PT089_P9_A06_S102	Tumor	GSM3326369	SRR7666543	B6	depleted_yes	PT089	Tumor	Passed	P9	A06
PT089_P9_A07_S103	Stroma	GSM3326370	SRR7666544	B6	depleted_yes	PT089	nonTumor	Passed	P9	A07
PT089_P9_A08_S104	Tumor	GSM3326371	SRR7666545	B6	depleted_yes	PT089	Tumor	Passed	P9	A08
PT089_P9_A09_S105	Tumor	GSM3326372	SRR7666546	B6	depleted_yes	PT089	Tumor	Passed	P9	A09
PT089_P9_A10_S106	Tumor	GSM3326373	SRR7666547	B6	depleted_yes	PT089	Tumor	Passed	P9	A10
PT089_P9_A11_S107	Tumor	GSM3326374	SRR7666548	B6	depleted_yes	PT089	Tumor	Passed	P9	A11
PT089_P9_A12_S108	Stroma	GSM3326375	SRR7666549	B6	depleted_yes	PT089	nonTumor	Passed	P9	A12
PT089_P9_B01_S109	Tumor	GSM3326376	SRR7666550	B6	depleted_yes	PT089	Tumor	Passed	P9	B01
PT089_P9_B02_S110	Stroma	GSM3326377	SRR7666551	B6	depleted_yes	PT089	nonTumor	Passed	P9	B02
PT089_P9_B03_S111	Tumor	GSM3326378	SRR7666552	B6	depleted_yes	PT089	Tumor	Passed	P9	B03
PT089_P9_B04_S112	Tumor	GSM3326379	SRR7666553	B6	depleted_yes	PT089	Tumor	Passed	P9	B04
PT089_P9_B05_S113	Tumor	GSM3326380	SRR7666554	B6	depleted_yes	PT089	Tumor	Passed	P9	B05
PT089_P9_B06_S114	Tumor	GSM3326381	SRR7666555	B6	depleted_yes	PT089	Tumor	Passed	P9	B06
PT089_P9_B07_S115	Tumor	GSM3326382	SRR7666556	B6	depleted_yes	PT089	Tumor	Passed	P9	B07
PT089_P9_B08_S116	Stroma	GSM3326383	SRR7666557	B6	depleted_yes	PT089	nonTumor	Passed	P9	B08
PT089_P9_B09_S117	Tumor	GSM3326384	SRR7666558	B6	depleted_yes	PT089	Tumor	Passed	P9	B09
PT089_P9_B10_S118	Tumor	GSM3326385	SRR7666559	B6	depleted_yes	PT089	Tumor	Passed	P9	B10
PT089_P9_B11_S119	Tumor	GSM3326386	SRR7666560	B6	depleted_yes	PT089	Tumor	Passed	P9	B11
PT089_P9_B12_S120	Tumor	GSM3326387	SRR7666561	B6	depleted_yes	PT089	Tumor	Passed	P9	B12
PT089_P9_C01_S121	Bcell	GSM3326388	SRR7666562	B6	depleted_yes	PT089	nonTumor	Passed	P9	C01
PT089_P9_C02_S122	Tumor	GSM3326389	SRR7666563	B6	depleted_yes	PT089	Tumor	Passed	P9	C02
PT089_P9_C03_S123	Tumor	GSM3326390	SRR7666564	B6	depleted_yes	PT089	Tumor	Passed	P9	C03
PT089_P9_C04_S124	Tumor	GSM3326391	SRR7666565	B6	depleted_yes	PT089	Tumor	Passed	P9	C04
PT089_P9_C05_S125	Tumor	GSM3326392	SRR7666566	B6	depleted_yes	PT089	Tumor	Passed	P9	C05
PT089_P9_C06_S126	Tumor	GSM3326393	SRR7666567	B6	depleted_yes	PT089	Tumor	Passed	P9	C06
PT089_P9_C07_S127	Tumor	GSM3326394	SRR7666568	B6	depleted_yes	PT089	Tumor	Passed	P9	C07
PT089_P9_C08_S128	Stroma	GSM3326395	SRR7666569	B6	depleted_yes	PT089	nonTumor	Passed	P9	C08
PT089_P9_C09_S129	Tumor	GSM3326396	SRR7666570	B6	depleted_yes	PT089	Tumor	Passed	P9	C09
PT089_P9_C10_S130	Tumor	GSM3326397	SRR7666571	B6	depleted_yes	PT089	Tumor	Passed	P9	C10
PT089_P9_C11_S131	Stroma	GSM3326398	SRR7666572	B6	depleted_yes	PT089	nonTumor	Passed	P9	C11
PT089_P9_C12_S132	Tumor	GSM3326399	SRR7666573	B6	depleted_yes	PT089	Tumor	Passed	P9	C12
PT089_P9_D01_S133	Stroma	GSM3326400	SRR7666574	B6	depleted_yes	PT089	nonTumor	Passed	P9	D01
PT089_P9_D02_S134	Tumor	GSM3326401	SRR7666575	B6	depleted_yes	PT089	Tumor	Passed	P9	D02
PT089_P9_D03_S135	Tumor	GSM3326402	SRR7666576	B6	depleted_yes	PT089	Tumor	Passed	P9	D03
