Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,chlamydial_species,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Hours_post_infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_batch,source_name,SRA Study
SRR9267108,RNA-Seq,GCA_000001405.28,267,9933689,PRJNA548292,SAMN12017338,4282825,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6037349,GSM3872662,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872662,1,Epithelial cells (HEp2),SRP201079
SRR9267109,RNA-Seq,GCA_000001405.28,275,4865165,PRJNA548292,SAMN12017337,2492609,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6037350,GSM3872663,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872663,1,Epithelial cells (HEp2),SRP201079
SRR9267110,RNA-Seq,GCA_000001405.28,285,1135536493,PRJNA548292,SAMN12017336,337259664,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX6037351,GSM3872664,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872664,1,Epithelial cells (HEp2),SRP201079
SRR9267111,RNA-Seq,GCA_000001405.28,284,1372509623,PRJNA548292,SAMN12017335,404168574,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6037352,GSM3872665,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872665,1,Epithelial cells (HEp2),SRP201079
SRR9267112,RNA-Seq,GCA_000001405.28,270,3098563018,PRJNA548292,SAMN12017334,884006008,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6037353,GSM3872666,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872666,1,Epithelial cells (HEp2),SRP201079
SRR9267113,RNA-Seq,GCA_000001405.28,271,2083943151,PRJNA548292,SAMN12017333,599543468,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6037354,GSM3872667,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872667,1,Epithelial cells (HEp2),SRP201079
SRR9267114,RNA-Seq,GCA_000001405.28,251,1301679457,PRJNA548292,SAMN12017332,301551400,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6037355,GSM3872668,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872668,2,Epithelial cells (HEp2),SRP201079
SRR9267115,RNA-Seq,GCA_000001405.28,258,550309016,PRJNA548292,SAMN12017331,131216088,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6037356,GSM3872669,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872669,2,Epithelial cells (HEp2),SRP201079
SRR9267116,RNA-Seq,GCA_000001405.28,266,1390713140,PRJNA548292,SAMN12017330,318191183,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6037357,GSM3872670,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872670,2,Epithelial cells (HEp2),SRP201079
SRR9267117,RNA-Seq,GCA_000001405.28,273,924723468,PRJNA548292,SAMN12017329,217401829,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6037358,GSM3872671,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872671,2,Epithelial cells (HEp2),SRP201079
SRR9267118,RNA-Seq,GCA_000001405.28,286,940403182,PRJNA548292,SAMN12017328,236033637,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037359,GSM3872672,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872672,2,Epithelial cells (HEp2),SRP201079
SRR9267119,RNA-Seq,GCA_000001405.28,297,1359513375,PRJNA548292,SAMN12017327,402444237,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6037360,GSM3872673,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872673,2,Epithelial cells (HEp2),SRP201079
SRR9267120,RNA-Seq,GCA_000001405.28,296,1932002612,PRJNA548292,SAMN12017326,538261093,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037361,GSM3872674,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872674,2,Epithelial cells (HEp2),SRP201079
SRR9267121,RNA-Seq,GCA_000001405.28,279,523646299,PRJNA548292,SAMN12017325,129871026,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6037362,GSM3872675,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872675,2,Epithelial cells (HEp2),SRP201079
SRR9267122,RNA-Seq,GCA_000001405.28,287,1004494513,PRJNA548292,SAMN12017324,246544135,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6037363,GSM3872676,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872676,2,Epithelial cells (HEp2),SRP201079
SRR9267123,RNA-Seq,GCA_000001405.28,285,4107171,PRJNA548292,SAMN12017323,1767346,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6037364,GSM3872677,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872677,2,Epithelial cells (HEp2),SRP201079
SRR9267124,RNA-Seq,GCA_000001405.28,289,1634238646,PRJNA548292,SAMN12017322,419763689,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037365,GSM3872678,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872678,2,Epithelial cells (HEp2),SRP201079
SRR9267126,RNA-Seq,GCA_000001405.28,273,937482751,PRJNA548292,SAMN12017320,220406102,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX6037367,GSM3872680,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872680,2,Epithelial cells (HEp2),SRP201079
SRR9267127,RNA-Seq,GCA_000001405.28,275,825856619,PRJNA548292,SAMN12017319,231780379,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX6037368,GSM3872681,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872681,2,Epithelial cells (HEp2),SRP201079
SRR9267128,RNA-Seq,GCA_000001405.28,248,564943989,PRJNA548292,SAMN12017389,129848219,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6037369,GSM3872682,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872682,2,Epithelial cells (HEp2),SRP201079
SRR9267129,RNA-Seq,GCA_000001405.28,280,966353769,PRJNA548292,SAMN12017388,239700482,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX6037370,GSM3872683,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872683,2,Epithelial cells (HEp2),SRP201079
SRR9267130,RNA-Seq,GCA_000001405.28,278,1074366744,PRJNA548292,SAMN12017387,283531806,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6037371,GSM3872684,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872684,3,Epithelial cells (HEp2),SRP201079
SRR9267131,RNA-Seq,GCA_000001405.28,273,843272780,PRJNA548292,SAMN12017386,214610720,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX6037372,GSM3872685,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872685,3,Epithelial cells (HEp2),SRP201079
SRR9267132,RNA-Seq,GCA_000001405.28,267,1392864004,PRJNA548292,SAMN12017385,343538662,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX6037373,GSM3872686,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872686,3,Epithelial cells (HEp2),SRP201079
SRR9267133,RNA-Seq,GCA_000001405.28,279,945638837,PRJNA548292,SAMN12017392,243280385,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX6037374,GSM3872687,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872687,3,Epithelial cells (HEp2),SRP201079
SRR9267134,RNA-Seq,GCA_000001405.28,291,1504564529,PRJNA548292,SAMN12017391,414856791,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX6037375,GSM3872688,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872688,3,Epithelial cells (HEp2),SRP201079
SRR9267135,RNA-Seq,GCA_000001405.28,259,775237588,PRJNA548292,SAMN12017390,195961893,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037376,GSM3872689,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872689,3,Epithelial cells (HEp2),SRP201079
SRR9267136,RNA-Seq,GCA_000001405.28,294,1288801164,PRJNA548292,SAMN12017384,372176804,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6037377,GSM3872690,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872690,3,Epithelial cells (HEp2),SRP201079
SRR9267137,RNA-Seq,GCA_000001405.28,288,1113126101,PRJNA548292,SAMN12017383,310437385,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6037378,GSM3872691,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872691,3,Epithelial cells (HEp2),SRP201079
SRR9267138,RNA-Seq,GCA_000001405.28,264,833020404,PRJNA548292,SAMN12017239,204395573,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6037379,GSM3872692,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872692,3,Epithelial cells (HEp2),SRP201079
SRR9267139,RNA-Seq,GCA_000001405.28,255,476775283,PRJNA548292,SAMN12017238,116265726,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX6037380,GSM3872693,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872693,3,Epithelial cells (HEp2),SRP201079
SRR9267140,RNA-Seq,GCA_000001405.28,273,834116244,PRJNA548292,SAMN12017237,211673448,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6037381,GSM3872694,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872694,3,Epithelial cells (HEp2),SRP201079
SRR9267141,RNA-Seq,GCA_000001405.28,288,1120078094,PRJNA548292,SAMN12017236,310927825,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6037382,GSM3872695,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872695,3,Epithelial cells (HEp2),SRP201079
SRR9267142,RNA-Seq,GCA_000001405.28,286,1271552200,PRJNA548292,SAMN12017235,347899864,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"sra,bam","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX6037383,GSM3872696,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872696,3,Epithelial cells (HEp2),SRP201079
SRR9267143,RNA-Seq,GCA_000001405.28,289,1185364643,PRJNA548292,SAMN12017234,336831560,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6037384,GSM3872697,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872697,3,Epithelial cells (HEp2),SRP201079
SRR9267144,RNA-Seq,GCA_000001405.28,243,524876505,PRJNA548292,SAMN12017233,130671583,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX6037385,GSM3872698,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872698,3,Epithelial cells (HEp2),SRP201079
SRR9267145,RNA-Seq,GCA_000001405.28,249,904501575,PRJNA548292,SAMN12017232,229606277,epithelial (HEp2),GEO,Chlamydia trachomatis - Serovar E,infected,public,"bam,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037386,GSM3872699,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872699,3,Epithelial cells (HEp2),SRP201079
SRR9267146,RNA-Seq,GCA_000001405.28,261,82655115,PRJNA548292,SAMN12017231,32645824,epithelial (HEp2),GEO,None,mock infected,public,"sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037387,GSM3872700,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872700,2,Epithelial cells (HEp2),SRP201079
SRR9267147,RNA-Seq,GCA_000001405.28,211,19632939,PRJNA548292,SAMN12017230,8668804,epithelial (HEp2),GEO,None,mock infected,public,"sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6037388,GSM3872701,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872701,2,Epithelial cells (HEp2),SRP201079
SRR9267148,RNA-Seq,GCA_000001405.28,253,46558466,PRJNA548292,SAMN12017229,17087936,epithelial (HEp2),GEO,None,mock infected,public,"bam,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX6037389,GSM3872702,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872702,2,Epithelial cells (HEp2),SRP201079
SRR9267149,RNA-Seq,GCA_000001405.28,278,99135535,PRJNA548292,SAMN12017228,40559951,epithelial (HEp2),GEO,None,mock infected,public,"sra,bam","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX6037390,GSM3872703,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872703,2,Epithelial cells (HEp2),SRP201079
SRR9267150,RNA-Seq,GCA_000001405.28,232,16207287,PRJNA548292,SAMN12017227,8188661,epithelial (HEp2),GEO,None,mock infected,public,"sra,bam","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX6037391,GSM3872704,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872704,2,Epithelial cells (HEp2),SRP201079
SRR9267151,RNA-Seq,GCA_000001405.28,286,36116466,PRJNA548292,SAMN12017226,15422173,epithelial (HEp2),GEO,None,mock infected,public,"bam,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6037392,GSM3872705,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872705,2,Epithelial cells (HEp2),SRP201079
SRR9267152,RNA-Seq,GCA_000001405.28,290,2989639,PRJNA548292,SAMN12017225,1410003,epithelial (HEp2),GEO,None,mock infected,public,"bam,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX6037393,GSM3872706,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872706,2,Epithelial cells (HEp2),SRP201079
SRR9267153,RNA-Seq,GCA_000001405.28,278,45997683,PRJNA548292,SAMN12017224,19077445,epithelial (HEp2),GEO,None,mock infected,public,"bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX6037394,GSM3872707,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872707,2,Epithelial cells (HEp2),SRP201079
SRR9267154,RNA-Seq,GCA_000001405.28,288,2763725,PRJNA548292,SAMN12017223,1321604,epithelial (HEp2),GEO,None,mock infected,public,"sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX6037395,GSM3872708,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872708,2,Epithelial cells (HEp2),SRP201079
SRR9267155,RNA-Seq,GCA_000001405.28,278,35439160,PRJNA548292,SAMN12017222,16582702,epithelial (HEp2),GEO,None,mock infected,public,"sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6037396,GSM3872709,3,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-21T00:00:00Z,GSM3872709,2,Epithelial cells (HEp2),SRP201079
